advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	f	female	1796	1	124316877	55535977	616675	154093
Podemos	Unidas Podemos	269212336568846	Facebook	f	female	331	1	57398385	25474482	341871	87922
Partido Popular	Partido Popular	72249031214	Facebook	f	female	3639	1	55293200	18244577	426359	37410
Ciudadanos	Ciudadanos	74078667754	Facebook	f	female	5257	1	48778712	15023670	465234	37839
People's Vote UK	People's Vote	748608695327755	Facebook	f	female	3494	1	48381586	16779081	626470	113577
Britain's Future	Britain's Future	1625300137516491	Facebook	f	female	4475	1	34929282	10779069	432754	60769
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	f	female	2217	1	27382057	9332617	377517	49613
Best For Britain	Best for Britain	1863944713844924	Facebook	f	female	865	1	26174828	11197232	312673	74001
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	f	female	2328	1	24623088	8283229	295576	30736
SPD	SPD	47930567748	Facebook	f	female	6410	1	23672724	6488042	529443	22405
sp.a	sp.a	57253967150	Facebook	f	female	421	1	22237988	8919575	107935	23301
The Labour Party	The Labour Party	25749647410	Facebook	f	female	651	1	20500235	8268902	163984	36627
Greenpeace France		39435457457	Facebook	f	female	130	1	19855437	9024890	104450	23952
CDU	CDU	78502295414	Facebook	f	female	3170	1	19610479	4709937	174052	4243
Conservatives	The Conservative Party	8807334278	Facebook	f	female	1893	1	19512023	7559222	223386	29728
PSOE	PSOE	189318235003	Facebook	f	female	335	1	16583611	6601154	49498	9157
Kialo		729627343834501	Facebook	f	female	747	1	16322833	6530249	109229	27134
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	f	female	91	1	15370755	6919251	33074	9816
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	f	female	180	1	14892279	6791895	39838	8935
România în primul rând	Future Innovation	770704223323599	Facebook	f	female	94	1	14680011	6502151	17023	3985
FDP	FDP	21289227249	Facebook	f	female	1696	1	14316342	4302033	117530	6862
European Greens	European Greens	141366725876424	Facebook	f	female	88	1	13984594	6274855	89927	22948
Rädda Barnen		72659261793	Facebook	f	female	403	1	13591529	4549188	123781	31030
38 Degrees	38 Degrees	200006375787	Facebook	f	female	645	1	13540484	5005931	91547	13194
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	f	female	118	1	12577970	5197924	39867	9752
