advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	100_1k	100 - 1k	419	1	88304741	39210471	255434	79942
Britain's Future	Britain's Future	1625300137516491	Facebook	100_1k	100 - 1k	4488	1	56978713	17925854	611879	115993
People's Vote UK	People's Vote	748608695327755	Facebook	100_1k	100 - 1k	3474	1	43147077	13117134	502788	98942
Kialo		729627343834501	Facebook	100_1k	100 - 1k	491	1	42395528	17480596	259942	69233
Podemos	Unidas Podemos	269212336568846	Facebook	100_1k	100 - 1k	174	1	38099826	16720000	121326	45000
Ciudadanos	Ciudadanos	74078667754	Facebook	100_1k	100 - 1k	427	1	32619573	12120000	222573	50300
Partido Popular	Partido Popular	72249031214	Facebook	100_1k	100 - 1k	185	1	22199815	9200000	106815	30100
sp.a	sp.a	57253967150	Facebook	100_1k	100 - 1k	124	1	19569876	7990000	72376	20800
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	100_1k	100 - 1k	3465	1	19214286	6486271	185074	32041
The Labour Party	The Labour Party	25749647410	Facebook	100_1k	100 - 1k	636	1	17868810	7182825	121753	26287
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	100_1k	100 - 1k	2301	1	17645039	6533413	150883	26192
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	100_1k	100 - 1k	79	1	17049921	7440000	41921	9900
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	100_1k	100 - 1k	148	1	16809852	7205000	76352	16800
PSOE	PSOE	189318235003	Facebook	100_1k	100 - 1k	83	1	15699917	7110000	47417	13100
Sacramento Kings		96222644025	Facebook	100_1k	100 - 1k	33	1	15586732	7267274	12345	4075
We are the 52%	We are the 52%	466744973727718	Facebook	100_1k	100 - 1k	278	1	14294232	6282716	45309	8569
SPD	SPD	47930567748	Facebook	100_1k	100 - 1k	189	1	13194811	4326000	104311	26900
European Commission		107898832590939	Facebook	100_1k	100 - 1k	32	1	13099968	5890000	23468	9200
Partidul Naţional Liberal		181375448581167	Facebook	100_1k	100 - 1k	87	1	12932331	5624286	16942	5344
38 Degrees	38 Degrees	200006375787	Facebook	100_1k	100 - 1k	610	1	12382326	4928670	79582	15085
Sosialidemokraatit SDP		108945982480217	Facebook	100_1k	100 - 1k	112	1	12009888	4925000	61388	15600
Greenpeace France		39435457457	Facebook	100_1k	100 - 1k	48	1	11749952	5040000	32952	12000
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	100_1k	100 - 1k	66	1	11737032	5086586	25406	5524
Conservatives	The Conservative Party	8807334278	Facebook	100_1k	100 - 1k	2143	1	11652896	3711450	121173	21148
România în primul rând	Future Innovation	770704223323599	Facebook	100_1k	100 - 1k	55	1	10946712	4946438	10427	2906
