advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	f	female	1507	1	101958879	45111454	505924	126594
Podemos	Unidas Podemos	269212336568846	Facebook	f	female	331	1	57398209	25474411	341871	87922
Partido Popular	Partido Popular	72249031214	Facebook	f	female	3639	1	55293200	18244577	426359	37410
Ciudadanos	Ciudadanos	74078667754	Facebook	f	female	5257	1	48778712	15023670	465234	37839
People's Vote UK	People's Vote	748608695327755	Facebook	f	female	3473	1	48188358	16720434	624647	113514
Britain's Future	Britain's Future	1625300137516491	Facebook	f	female	4475	1	34929282	10779069	432754	60769
Best For Britain	Best for Britain	1863944713844924	Facebook	f	female	865	1	26147174	11174748	312351	73738
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	f	female	1974	1	24424418	8188979	343365	46175
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	f	female	2298	1	22976454	7548822	280477	28393
Conservatives	The Conservative Party	8807334278	Facebook	f	female	1839	1	19401278	7532048	218000	29157
The Labour Party	The Labour Party	25749647410	Facebook	f	female	647	1	19398056	7743196	159018	35201
SPD	SPD	47930567748	Facebook	f	female	4860	1	17575576	5052727	373391	16334
Greenpeace France		39435457457	Facebook	f	female	126	1	17148465	7709667	91122	21046
PSOE	PSOE	189318235003	Facebook	f	female	334	1	16257925	6466178	49076	9065
Kialo		729627343834501	Facebook	f	female	704	1	16033491	6432319	107609	26808
CDU	CDU	78502295414	Facebook	f	female	3170	1	15432983	3842007	157686	0
sp.a	sp.a	57253967150	Facebook	f	female	232	1	15110731	6316584	70699	16553
Rädda Barnen		72659261793	Facebook	f	female	430	1	14470191	4889102	128916	32036
38 Degrees	38 Degrees	200006375787	Facebook	f	female	614	1	13012343	4811665	86746	12533
Sosialidemokraatit SDP		108945982480217	Facebook	f	female	261	1	11733743	4682309	70949	16135
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	f	female	75	1	11478304	5045703	26800	7626
European Commission		107898832590939	Facebook	f	female	92	1	11160052	5072102	44121	11656
România în primul rând	Future Innovation	770704223323599	Facebook	f	female	64	1	9128787	4007754	10409	2476
Plan International Sverige		382243262003	Facebook	f	female	323	1	9028451	2980951	78749	18985
Vlaams Belang	Vlaams Belang	56605856504	Facebook	f	female	57	1	8734420	3993990	55581	12902
