advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	platform_code_filter	platform_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	f	Facebook	CZ	Czechia	94	1	10828582	4930898	51957	16896
ČSSD	ČSSD	111041662264882	Facebook	f	Facebook	CZ	Czechia	1716	1	10603280	2691999	52641	12754
Česká pirátská strana	Česká pirátská strana	109323929038	Facebook	f	Facebook	CZ	Czechia	108	1	4291884	1682998	13449	3439
HLAS	První prezidentská	320144481956623	Facebook	f	Facebook	CZ	Czechia	259	1	3439741	862000	6468	1779
European Commission		107898832590939	Facebook	f	Facebook	CZ	Czechia	21	1	3397791	1553897	13098	3123
ecoFuture & E.ON Energy Globe		104654572907664	Facebook	f	Facebook	CZ	Czechia	102	1	2794675	970905	11697	399
TOP 09	TOP 09	90002267161	Facebook	f	Facebook	CZ	Czechia	27	1	2645973	1053000	4786	1414
Organizace pro pomoc uprchlíkům, z.s.		188235971211201	Facebook	f	Facebook	CZ	Czechia	92	1	2601874	621990	1807	470
Pavel Svoboda	Křesťanská a demokratická unie - Československá strana lidová	1451376028412024	Facebook	f	Facebook	CZ	Czechia	94	1	2494906	756000	5203	1290
Strana nezávislosti České republiky	Strana nezávislosti České republiky	1199083776860090	Facebook	f	Facebook	CZ	Czechia	51	1	2291948	888999	7199	1752
Petr Fiala	ODS - Občanská demokratická strana	487445514669670	Facebook	f	Facebook	CZ	Czechia	43	1	2133953	584999	9573	2156
Gambrinus		146991996743	Facebook	f	Facebook	CZ	Czechia	3	1	1999998	900000	14997	3000
Evropa společně	Evropa společně	535611970260854	Facebook	f	Facebook	CZ	Czechia	63	1	1911928	618998	6274	1165
Kialo		729627343834501	Facebook	f	Facebook	CZ	Czechia	355	1	1646557	657854	11049	2691
Pavel Poc	Poc Pavel	202974613060409	Facebook	f	Facebook	CZ	Czechia	19	1	1574981	620999	4215	1158
Tomáš Zdechovský		275042429350706	Facebook	f	Facebook	CZ	Czechia	25	1	1429950	622988	7596	1904
Andrej Babiš	ANO	214827221987263	Facebook	f	Facebook	CZ	Czechia	5	1	1409992	704998	4567	1010
Ondřej Krutílek - kandidát do Evropského parlamentu		1220066088147062	Facebook	f	Facebook	CZ	Czechia	37	1	1217936	329990	6092	1740
Starostové a nezávislí	Starostové a nezávislí	370583064327	Facebook	f	Facebook	CZ	Czechia	16	1	1209983	476999	3753	936
Jan Zahradil		400970967000022	Facebook	f	Facebook	CZ	Czechia	15	1	1079985	351999	4332	983
Daniel Herman		378072105614553	Facebook	f	Facebook	CZ	Czechia	10	1	1019932	396975	1149	392
Roman Kriz	Kriz Roman	382745889213194	Facebook	f	Facebook	CZ	Czechia	128	1	993872	233000	3624	823
KDU-ČSL	KDU-ČSL	251656685576	Facebook	f	Facebook	CZ	Czechia	54	1	983884	369987	2982	672
Talíř do Bruselu	KDU-ČSL	2108659169383946	Facebook	f	Facebook	CZ	Czechia	55	1	709937	192998	1602	419
Kancelář Evropského parlamentu	Kancelář Evropského parlamentu	278212515809	Facebook	f	Facebook	CZ	Czechia	21	1	646972	134998	1678	380
