advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	media_code_filter	media_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	text	Text	72	1	32940000	3260000	377400	7600
SPD		AR456734381399080960	Google	text	Text	32	1	10310000	1020000	574750	38950
mmb media agentur d.o.o.		AR524572049809604608	Google	text	Text	355	1	4990000	160000	17750	0
Suomen Sosialidemokraattinen Puolue - Finlands Socialdemokratiska  Parti r.p.		AR525570406367625216	Google	text	Text	63	1	3960000	340000	192300	4050
CENTERPARTIETS RIKSORGANISATION		AR484881879070146560	Google	text	Text	280	1	2980000	20000	112850	2500
Det Konservative Folkeparti		AR40969452518375424	Google	text	Text	242	1	2420000	0	17500	600
Gestion et Action Libérale		AR201311233196949504	Google	text	Text	210	1	2370000	30000	105750	2100
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	text	Text	56	1	2180000	170000	191500	4000
Partidul Uniunea Salvati Romania		AR150822483883196416	Google	text	Text	5	1	2120000	210000	90550	1550
Bündnis90/ Die Grünen		AR207068276079984640	Google	text	Text	126	1	1980000	80000	77450	2250
GREEN DAY, s.r.o		AR423241058193768448	Google	text	Text	45	1	1890000	150000	4500	250
Bündnis 90/Die Grünen Baden-Württemberg		AR17917091730423808	Google	text	Text	174	1	1740000	0	10050	150
Future Innovation SRL		AR474748779908562944	Google	text	Text	4	1	1210000	120000	61000	1100
HLAS		AR312619193323225088	Google	text	Text	95	1	1130000	20000	11950	800
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	text	Text	67	1	1120000	50000	189800	3750
SF - Socialistisk Folkeparti		AR76998249537339392	Google	text	Text	111	1	1110000	0	9150	400
NÁRODNÁ KOALÍCIA		AR12498698428743680	Google	text	Text	2	1	1100000	110000	30500	550
Partito Democratico		AR254356072167374848	Google	text	Text	26	1	1070000	90000	274450	4900
Freiheitliche Partei Österreich		AR333020356698701824	Google	text	Text	39	1	930000	60000	154400	2800
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	text	Text	57	1	840000	30000	99450	2250
Varsinais-Suomen Kokoomus ry		AR199136399197208576	Google	text	Text	51	1	780000	30000	9300	750
European People’s Party		AR308399267695820800	Google	text	Text	31	1	760000	50000	94100	1800
Alternative für Deutschland		AR380456861733748736	Google	text	Text	9	1	630000	60000	2700	250
Perussuomalaiset r.p., Sannfinländarna r.p.		AR535217521389731840	Google	text	Text	28	1	550000	30000	35400	950
SPOLU - občianska demokracia		AR194838133366325248	Google	text	Text	50	1	500000	0	2500	0
