advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	media_code_filter	media_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
mmb media agentur d.o.o.		AR524572049809604608	Google	text	Text	352	1	4960000	160000	17600	0
CENTERPARTIETS RIKSORGANISATION		AR484881879070146560	Google	text	Text	240	1	2400000	0	12000	0
Det Konservative Folkeparti		AR40969452518375424	Google	text	Text	218	1	2180000	0	10900	0
Gestion et Action Libérale		AR201311233196949504	Google	text	Text	182	1	1820000	0	9100	0
Bündnis 90/Die Grünen Baden-Württemberg		AR17917091730423808	Google	text	Text	160	1	1600000	0	8000	0
Bündnis90/ Die Grünen		AR207068276079984640	Google	text	Text	83	1	830000	0	4150	0
HLAS		AR312619193323225088	Google	text	Text	69	1	690000	0	3450	0
GREEN DAY, s.r.o		AR423241058193768448	Google	text	Text	36	1	540000	20000	1800	0
SPOLU - občianska demokracia		AR194838133366325248	Google	text	Text	49	1	490000	0	2450	0
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	text	Text	41	1	410000	0	2050	0
Unitas		AR53945888749387776	Google	text	Text	41	1	410000	0	2050	0
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	text	Text	39	1	390000	0	1950	0
Varsinais-Suomen Kokoomus ry		AR199136399197208576	Google	text	Text	23	1	320000	10000	1150	0
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	text	Text	32	1	320000	0	1600	0
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	text	Text	22	1	310000	10000	1100	0
Suomen Sosialidemokraattinen Puolue - Finlands Socialdemokratiska  Parti r.p.		AR525570406367625216	Google	text	Text	29	1	290000	0	1450	0
TOP 09		AR268709096956362752	Google	text	Text	28	1	280000	0	1400	0
Yhteinen hyvä ry		AR296997332115783680	Google	text	Text	28	1	280000	0	1400	0
Socialdemokratiet Sønderborg kreds		AR556939473108074496	Google	text	Text	27	1	270000	0	1350	0
Freiheitliche Partei Österreich		AR333020356698701824	Google	text	Text	25	1	250000	0	1250	0
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	text	Text	22	1	220000	0	1100	0
European People’s Party		AR308399267695820800	Google	text	Text	18	1	180000	0	900	0
Projekt Európa		AR303746959120793600	Google	text	Text	17	1	170000	0	850	0
Vapaus ry		AR124593908880506880	Google	text	Text	16	1	160000	0	800	0
Perussuomalaiset r.p., Sannfinländarna r.p.		AR535217521389731840	Google	text	Text	15	1	150000	0	750	0
Saku Petteri Räty		AR196651502918434816	Google	text	Text	13	1	130000	0	650	0
Alternative für Deutschland		AR380456861733748736	Google	text	Text	3	1	120000	10000	150	0
AfD-Kreisverband Braunschweig		AR201649882778304512	Google	text	Text	11	1	110000	0	550	0
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	text	Text	11	1	110000	0	550	0
Sloboda a Solidarita		AR242125929453715456	Google	text	Text	9	1	90000	0	450	0
Slovenska demokratska stranka		AR170068335415787520	Google	text	Text	8	1	80000	0	400	0
SPD Berlin		AR257142234632159232	Google	text	Text	8	1	80000	0	400	0
Kresťanská únia		AR358916054556082176	Google	text	Text	8	1	80000	0	400	0
Maailman Paras Pääkaupunki ry		AR221113437613195264	Google	text	Text	7	1	70000	0	350	0
Österreichischer Wirtschaftsbund (ÖWB)		AR248881328894771200	Google	text	Text	7	1	70000	0	350	0
Janika Takatalo		AR113027046556303360	Google	text	Text	6	1	60000	0	300	0
Teknologia ja tulevaisuus ry		AR340766690994290688	Google	text	Text	6	1	60000	0	300	0
Studio Montrucchio Capello snc		AR159631771044937728	Google	text	Text	5	1	50000	0	250	0
Partito Democratico		AR254356072167374848	Google	text	Text	5	1	50000	0	250	0
Nacionālā apvienība "Visu Latvijai!" - "Tēvzemei un Brīvībai/LNNK"		AR420861715031261184	Google	text	Text	5	1	50000	0	250	0
Petteri Rädyn tukiyhdistys ry		AR427131130332839936	Google	text	Text	5	1	50000	0	250	0
Liberal Alliance		AR183859784640888832	Google	text	Text	4	1	40000	0	200	0
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	text	Text	4	1	40000	0	200	0
SPÖ-Landesorganisation Burgenland		AR345765070854160384	Google	text	Text	4	1	40000	0	200	0
Venstre Egedalkreds		AR439052860034908160	Google	text	Text	4	1	40000	0	200	0
SPD		AR456734381399080960	Google	text	Text	4	1	40000	0	200	0
Flamesite s.r.o.		AR522320249995919360	Google	text	Text	4	1	40000	0	200	0
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	text	Text	3	1	30000	0	150	0
Česká Produkční Social Media s.r.o.		AR561937852967944192	Google	text	Text	3	1	30000	0	150	0
Dansk Folkeparti - Århus Lokalforening		AR167070242084749312	Google	text	Text	2	1	20000	0	100	0
Euroopassa Suomen Tähden ry		AR176823734856843264	Google	text	Text	2	1	20000	0	100	0
Fondation Populaire		AR320938922932699136	Google	text	Text	2	1	20000	0	100	0
DOPRAVA		AR56197688563073024	Google	text	Text	2	1	20000	0	100	0
Uusmaalaisten puolesta ry		AR139371345157816320	Google	text	Text	1	1	10000	0	50	0
GroenLinks		AR148211418645135360	Google	text	Text	1	1	10000	0	50	0
Partidul Uniunea Salvati Romania		AR150822483883196416	Google	text	Text	1	1	10000	0	50	0
Tėvynės Sąjunga – Lietuvos krikščionys demokratai		AR186518403756851200	Google	text	Text	1	1	10000	0	50	0
Volt Nederland		AR24721694316822528	Google	text	Text	1	1	10000	0	50	0
