audience_code	audience_label	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
m25_34	male (25-34)	159994	22950	655908096	244768780	4372419	655402
m18_24	male (18-24)	144314	21227	558073970	210108163	3446782	501608
f18_24	female (18-24)	145281	21526	511896847	194022500	3181576	468032
f25_34	female (25-34)	162914	23357	506693403	188867506	3584644	550348
m35_44	male (35-44)	162566	22758	489360890	179184494	3486369	517014
f35_44	female (35-44)	165761	23209	418163802	153044084	3203277	484934
m45_54	male (45-54)	158355	22156	412265587	146707764	3214885	460194
f45_54	female (45-54)	163123	22600	385349398	137613008	3145947	453421
f55_64	female (55-64)	155610	21428	338058884	118179262	2857659	386592
m55_64	male (55-64)	150581	21087	291867391	100724463	2452007	324774
