gender_code_filter	gender_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	female	European Parliament		178362315106	Facebook	1798	1	124948406	55771598	617637	154803
f	female	Podemos	Unidas Podemos	269212336568846	Facebook	332	1	57414309	25477666	341903	87922
f	female	Partido Popular	Partido Popular	72249031214	Facebook	3639	1	55293200	18244577	426359	37410
f	female	Ciudadanos	Ciudadanos	74078667754	Facebook	5257	1	48778712	15023670	465234	37839
f	female	People's Vote UK	People's Vote	748608695327755	Facebook	3500	1	48477134	16806740	626950	113577
f	female	Britain's Future	Britain's Future	1625300137516491	Facebook	4475	1	34929282	10779069	432754	60769
f	female	European Greens		141366725876424	Facebook	266	1	31009925	13726214	183938	45222
f	female	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	2220	1	27778477	9421456	383358	50973
f	female	Best For Britain	Best for Britain	1863944713844924	Facebook	865	1	26176049	11197740	312688	74005
f	female	SPD	SPD	47930567748	Facebook	6746	1	25321145	6882526	563021	23019
f	female	Friends of the Earth	Friends of the Earth	110861655604080	Facebook	2377	1	25077287	8546341	301597	31158
f	female	sp.a	sp.a	57253967150	Facebook	449	1	23633015	9531319	116756	24988
f	female	The Labour Party	The Labour Party	25749647410	Facebook	651	1	20872027	8492636	166997	37011
f	female	Greenpeace France		39435457457	Facebook	130	1	20339385	9339253	108651	24563
f	female	CDU	CDU	78502295414	Facebook	3170	1	19610479	4709937	174052	4243
f	female	Conservatives	The Conservative Party	8807334278	Facebook	1893	1	19515049	7559836	224380	29985
f	female	Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	229	1	19364420	8714410	47206	10630
f	female	România în primul rând	Future Innovation	770704223323599	Facebook	94	1	17023994	7444972	17522	4421
f	female	Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	95	1	16903337	7770914	41873	11255
f	female	PSOE	PSOE	189318235003	Facebook	335	1	16617152	6617924	49462	9150
f	female	Kialo		729627343834501	Facebook	815	1	16559588	6601870	110503	27293
f	female	FDP	FDP	21289227249	Facebook	1806	1	15999394	4840782	128010	7987
f	female	38 Degrees	38 Degrees	200006375787	Facebook	646	1	13737188	5032378	91913	13271
f	female	Médecins du Monde France		265420476920	Facebook	2102	1	13641620	4343414	221412	18603
f	female	Rädda Barnen		72659261793	Facebook	403	1	13591529	4549188	123781	31030
f	female	N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	132	1	13190569	5491582	43544	10986
f	female	Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	388	1	12537016	5049147	64122	12241
f	female	Sosialidemokraatit SDP		108945982480217	Facebook	315	1	12498457	4873368	79467	17980
f	female	Vlaams Belang	Vlaams Belang	56605856504	Facebook	74	1	12099995	5533498	80346	19362
f	female	Partito Democratico		77034286895	Facebook	190	1	11990096	5369966	41547	10048
f	female	Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	140	1	11375739	4874619	17776	4774
f	female	Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	64	1	11176143	5255184	23666	10567
f	female	European Commission		107898832590939	Facebook	92	1	11160052	5072102	44121	11656
f	female	Plan International Sverige		382243262003	Facebook	354	1	10802427	3588827	91174	22237
f	female	Save the Children Italia		46590675335	Facebook	48	1	10802163	4838049	47202	12155
f	female	Greenpeace Deutschland		22541752487	Facebook	455	1	10275585	3642437	64733	9214
f	female	Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	108	1	9926214	4287172	86425	20470
f	female	SPÖ	SPÖ	77393060080	Facebook	734	1	9494283	3333885	74203	11267
f	female	EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	191	1	9365337	3675546	24262	4548
f	female	BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	547	1	9141009	3026634	74917	11936
f	female	WeWorld Onlus		299584710061488	Facebook	364	1	8986414	3489829	49957	6189
f	female	Un país moderno	Unidas Podemos	577723459314066	Facebook	64	1	8226468	3724697	44376	9422
f	female	Sign for my Future	Sign for my Future	1345513882259768	Facebook	104	1	8127226	3423513	66852	16785
f	female	Fidesz	Fidesz	9844779306	Facebook	89	1	8026125	3805345	27426	13399
f	female	Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	83	1	7825080	3597006	18213	4529
f	female	Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	31	1	7368229	3425279	24293	6029
f	female	Harald Vilimsky		547597092025909	Facebook	178	1	6912764	2919529	64941	14662
f	female	Romania #nuepsd	Future Innovation	293215748279337	Facebook	35	1	6502912	2985956	4173	1745
f	female	Greenpeace Italia	Greenpeace Italia	35346524498	Facebook	93	1	6405758	2667947	17658	3570
f	female	Kyriakos Mitsotakis		34848567724	Facebook	109	1	6362981	2674316	14923	2967
f	female	Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	224	1	6153860	2319080	11748	4084
f	female	Greenpeace España	Greenpeace España	133044800622	Facebook	175	1	6153343	2241892	20987	2733
f	female	Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	429	1	6151250	2171166	42733	11279
f	female	PACMA - Partido Animalista	PACMA - Partido Animalista	72181181684	Facebook	84	1	6150663	2659583	17697	3697
f	female	CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	114	1	6083060	2855053	23278	4703
f	female	ČSSD	ČSSD	111041662264882	Facebook	1775	1	6055658	1465084	28608	6697
f	female	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	74	1	6023302	2538960	14004	2412
f	female	Platforma Obywatelska	KKW Koalicja Europejska PO PSL SLD .N Zieloni	102931488739	Facebook	488	1	5946830	2290139	21887	4560
f	female	Open Vld	Open Vld	53668151866	Facebook	357	1	5909626	2221921	43588	8010
f	female	Apodemia		115927088504184	Facebook	22	1	5821493	2604688	2816	179
f	female	PSC Partit dels  Socialistes de Catalunya	PSC Partit dels  Socialistes de Catalunya	87930687376	Facebook	87	1	5751159	2422542	37286	9231
f	female	Gazeta Wyborcza		63563473556	Facebook	408	1	5640278	1827608	13052	2020
f	female	Párbeszéd Magyarországért	Párbeszéd Magyarországért	113684438795574	Facebook	58	1	5622780	2410231	4633	1566
f	female	Parlement européen en France	Parlement européen en France	279757933824	Facebook	36	1	5619962	2269999	32063	8099
f	female	The Brexit Party	The Brexit Party	230416667843105	Facebook	108	1	5557508	2577373	84498	23131
f	female	Esquerra Republicana de Catalunya	Esquerra Republicana de Catalunya	150234575797	Facebook	236	1	5428887	2139258	24515	3490
f	female	Make.org	Make.org	122037308191612	Facebook	67	1	5385800	2295030	30581	7493
