advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	m	male	1804	1	131235800	58355537	686551	170247
Kialo		729627343834501	Facebook	m	male	835	1	68428759	26778664	447543	107795
Britain's Future	Britain's Future	1625300137516491	Facebook	m	male	4480	1	47647771	14806228	556707	74247
Podemos	Unidas Podemos	269212336568846	Facebook	m	male	300	1	47280531	21351263	278400	73432
People's Vote UK	People's Vote	748608695327755	Facebook	m	male	3517	1	46306879	15894092	612443	108326
Ciudadanos	Ciudadanos	74078667754	Facebook	m	male	5134	1	41838088	12695831	416407	30186
SPD	SPD	47930567748	Facebook	m	male	6115	1	28886201	8576322	595768	37878
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	m	male	237	1	26935775	12023207	67518	15201
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	m	male	2332	1	26787144	9045015	381415	45706
European Greens		141366725876424	Facebook	m	male	277	1	26499703	11684053	145903	36566
Partido Popular	Partido Popular	72249031214	Facebook	m	male	1643	1	26237365	9849880	158882	23490
Conservatives	The Conservative Party	8807334278	Facebook	m	male	1955	1	25698057	9866610	297342	41138
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	m	male	100	1	25040622	11404154	60407	17049
sp.a	sp.a	57253967150	Facebook	m	male	450	1	21755743	8761436	99811	21711
FDP	FDP	21289227249	Facebook	m	male	1937	1	20204643	6286981	180059	9843
We are the 52%	We are the 52%	466744973727718	Facebook	m	male	278	1	19154129	7121277	51736	7020
European Commission		107898832590939	Facebook	m	male	92	1	19130908	8861304	77982	19412
CDU	CDU	78502295414	Facebook	m	male	3170	1	18957285	4546099	172342	4039
The Labour Party	The Labour Party	25749647410	Facebook	m	male	660	1	18172527	7271150	154711	32709
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	m	male	132	1	17718432	7412047	60021	16691
Vlaams Belang	Vlaams Belang	56605856504	Facebook	m	male	77	1	17171227	7912169	131004	32655
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	m	male	389	1	17086004	7145364	76009	14351
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	m	male	66	1	16934265	7969433	35280	15767
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	m	male	124	1	16205848	7032197	141396	33311
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	m	male	147	1	15889606	6840932	25733	6645
