advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	55_64	55-64	400	1	13766383	6184923	69340	15778
Fidesz	Fidesz	9844779306	Facebook	55_64	55-64	121	1	5488905	2432224	28351	12114
SPD	SPD	47930567748	Facebook	55_64	55-64	3840	1	3186870	735436	74329	1819
Ciudadanos	Ciudadanos	74078667754	Facebook	55_64	55-64	135	1	2932521	1352206	28004	8323
CDU	CDU	78502295414	Facebook	55_64	55-64	13519	1	2691304	579843	88278	240
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	55_64	55-64	4762	1	2494168	672454	35510	1675
Avaaz	Avaaz	8340223883	Facebook	55_64	55-64	112	1	2375662	1036113	12181	3246
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	55_64	55-64	68	1	2328646	976628	11611	2522
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	55_64	55-64	216	1	2238558	910307	33886	8131
Demokratikus Koalíció	Demokratikus Koalíció	169599166463839	Facebook	55_64	55-64	138	1	2003450	594572	7696	2160
Open Vld	Open Vld	53668151866	Facebook	55_64	55-64	117	1	1958773	833240	21356	5345
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	55_64	55-64	20	1	1664356	774259	3900	1582
FDP	FDP	21289227249	Facebook	55_64	55-64	1910	1	1609697	464784	21416	798
MoVimento 5 Stelle	MoVimento 5 Stelle	174457180812	Facebook	55_64	55-64	10	1	1594363	754973	8312	1784
Moderaterna	Moderaterna	7719591155	Facebook	55_64	55-64	142	1	1542126	616906	28155	6703
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	55_64	55-64	20	1	1436651	662398	4482	2068
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	55_64	55-64	3720	1	1421929	365571	31867	2223
Conservatives	The Conservative Party	8807334278	Facebook	55_64	55-64	1367	1	1372184	315992	45555	1223
ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	55_64	55-64	35	1	1352427	609144	3695	879
Ciudadanos Andalucía	Ciudadanos	522336804500176	Facebook	55_64	55-64	305	1	1311719	474875	13447	2381
Giorgia Meloni	Fratelli d'Italia	38919827644	Facebook	55_64	55-64	21	1	1283198	544633	7633	1720
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	55_64	55-64	116	1	1204197	495078	3799	1595
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	55_64	55-64	60	1	1200921	536319	8227	1832
MSZP	MSZP	115388925185513	Facebook	55_64	55-64	40	1	1194710	493988	3603	1480
Приоритети	БЗНС	1163987410423594	Facebook	55_64	55-64	36	1	1144598	482178	5547	957
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	55_64	55-64	54	1	1142255	498716	4340	1091
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	55_64	55-64	42	1	1109937	482164	16565	5090
ΣΥ.ΡΙΖ.Α.	ΣΥ.ΡΙΖ.Α.	31895177275	Facebook	55_64	55-64	16	1	1096685	493234	7348	1700
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	55_64	55-64	11	1	1089885	529342	5745	1143
Podemos	UNIDAS PODEMOS CAMBIAR EUROPA	269212336568846	Facebook	55_64	55-64	14	1	1079429	523829	17977	4139
Kálmán Olga Hivatalos oldala	Kálmán Olga Hivatalos oldala	1878531865537365	Facebook	55_64	55-64	144	1	1065193	403094	3266	1235
Gouvernement	Gouvernement	392341217527576	Facebook	55_64	55-64	28	1	1060610	450343	6000	1531
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	55_64	55-64	17	1	1013186	480656	11744	4416
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	55_64	55-64	10	1	957103	463508	2034	424
Esquerra Republicana de Catalunya	Esquerra Republicana de Catalunya	150234575797	Facebook	55_64	55-64	141	1	954030	368857	6529	1221
European Commission	European Commission	107898832590939	Facebook	55_64	55-64	26	1	948641	407675	1910	655
Dobrev Klára	Demokratikus Koalíció	1880809845328535	Facebook	55_64	55-64	100	1	946588	344452	3213	1196
Caterina Cerroni	Caterina Cerroni	1618719834925589	Facebook	55_64	55-64	23	1	925811	433495	6548	1453
Párbeszéd Magyarországért	Párbeszéd Magyarországért	113684438795574	Facebook	55_64	55-64	38	1	915576	374416	1785	611
Sverigedemokraterna	Sverigedemokraterna	676246449160270	Facebook	55_64	55-64	40	1	910042	390458	11516	3620
European Free Alliance	European Free Alliance	46708306425	Facebook	55_64	55-64	31	1	894328	345578	8325	1796
Platforma Obywatelska	KKW Koalicja Europejska PO PSL SLD .N Zieloni	102931488739	Facebook	55_64	55-64	52	1	887594	282920	2967	922
SPÖ	SPÖ	77393060080	Facebook	55_64	55-64	89	1	878220	354619	6269	1947
Vlaams Belang	Vlaams Belang	56605856504	Facebook	55_64	55-64	36	1	874818	386652	13626	3196
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	55_64	55-64	267	1	841128	301422	5978	917
The Labour Party	The Labour Party	25749647410	Facebook	55_64	55-64	184	1	772892	342141	8794	1960
Valmyndigheten	Valmyndigheten	1737852076287450	Facebook	55_64	55-64	55	1	754012	332266	4685	1182
Fratelli d'Italia	Fratelli d'Italia	355710427861591	Facebook	55_64	55-64	30	1	752140	294985	3954	1045
Socialdemokraterna	Socialdemokraterna	8040892957	Facebook	55_64	55-64	84	1	750173	286902	15443	3359
Angelo Ciocca	Angelo Ciocca	479212098810360	Facebook	55_64	55-64	11	1	749568	334050	5715	1287
Wolfram Pirchner	Österreichischer Seniorenbund	296676857050295	Facebook	55_64	55-64	10	1	714852	307268	5914	1578
CD&V	CD&V	52997544531	Facebook	55_64	55-64	110	1	710530	269637	5689	1033
Kristdemokraterna	Kristdemokraterna	115198178364	Facebook	55_64	55-64	124	1	707576	246521	11949	3764
Κίνημα Αλλαγής	Κίνημα Αλλαγής	504891253213373	Facebook	55_64	55-64	25	1	672573	279130	1946	503
Ρένα Δούρου	Ρένα Δούρου	225197477683663	Facebook	55_64	55-64	70	1	668615	247952	4153	675
HDZ - Hrvatska demokratska zajednica	HDZ - Hrvatska demokratska zajednica	406059206159790	Facebook	55_64	55-64	50	1	667028	284959	2639	698
Jakab Péter	Jobbik Magyarországért Mozgalom	781150971947219	Facebook	55_64	55-64	11	1	659833	275170	1462	649
Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	55_64	55-64	77	1	631294	226472	6275	1498
Harald Vilimsky	FPÖ	547597092025909	Facebook	55_64	55-64	37	1	618736	272026	4935	1139
Carlo Calenda	Siamo Europei	131887960826264	Facebook	55_64	55-64	11	1	615645	292491	2612	580
