advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament	European Parliament	178362315106	Facebook	500k_1m	500k - 1m	32	1	31999968	16000000	156968	35000
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	500k_1m	500k - 1m	83	1	24985489	2498548	20695	1309
European Commission	European Commission	107898832590939	Facebook	500k_1m	500k - 1m	23	1	22999977	11500000	82977	21700
Partidul Uniunea Salvati Romania		AR150822483883196416	Google	500k_1m	500k - 1m	67	1	20169009	2016900	88382	2047
SOCIALDEMOKRATIET		AR271193993235136512	Google	500k_1m	500k - 1m	67	1	20169009	2016900	409701	7104
AMERISOFT SRL		AR573801583431647232	Google	500k_1m	500k - 1m	62	1	18663859	1866385	11845	361
Partidul Pro Romania		AR116025139887341568	Google	500k_1m	500k - 1m	56	1	16857679	1685767	21448	587
Sloboda a Solidarita		AR242125929453715456	Google	500k_1m	500k - 1m	49	1	14750469	1475046	15307	767
European Parliament		AR345426421272805376	Google	500k_1m	500k - 1m	46	1	13847379	1384737	246694	4349
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	500k_1m	500k - 1m	44	1	13245319	1324531	175349	3236
EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	500k_1m	500k - 1m	43	1	12944289	1294428	14946	737
Slovenska demokratska stranka		AR170068335415787520	Google	500k_1m	500k - 1m	38	1	11439139	1143913	11890	406
European Greens	European Greens	141366725876424	Facebook	500k_1m	500k - 1m	11	1	10999989	5500000	59989	15000
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	500k_1m	500k - 1m	36	1	10837079	1083707	4470	436
Partido Popular Regional De Canarias		AR288284801977286656	Google	500k_1m	500k - 1m	36	1	10837079	1083707	3928	376
PARTIDUL SOCIAL DEMOCRAT - P.S.D.		AR191075604576075776	Google	500k_1m	500k - 1m	32	1	9632959	963295	235706	4003
Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	500k_1m	500k - 1m	31	1	9331929	933192	466	0
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	500k_1m	500k - 1m	30	1	9030899	903089	48917	1128
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	500k_1m	500k - 1m	29	1	8729869	872986	2332	210
Partido Socialista Obrero Español de Castilla y León		AR476313110076981248	Google	500k_1m	500k - 1m	29	1	8729869	872986	3145	301
Future Innovation SRL		AR474748779908562944	Google	500k_1m	500k - 1m	28	1	8428839	842883	48616	1098
Open Vld		AR369049153717665792	Google	500k_1m	500k - 1m	27	1	8127809	812780	57346	1219
NEA DEMOKRATIA		AR351183464155840512	Google	500k_1m	500k - 1m	25	1	7525749	752574	74805	1459
Ciudadanos - Partido de la Ciudadanía		AR309397624253841408	Google	500k_1m	500k - 1m	24	1	7224719	722471	216741	3612
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  Zieloni		AR489880258930016256	Google	500k_1m	500k - 1m	24	1	7224719	722471	12086	451
