advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
AMERISOFT SRL		AR573801583431647232	Google	500k_1m	500k - 1m	60	1	18061799	1806179	2393	165
SOCIALDEMOKRATIET		AR271193993235136512	Google	500k_1m	500k - 1m	45	1	13546349	1354634	326467	5554
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	500k_1m	500k - 1m	44	1	13245319	1324531	175349	3236
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	500k_1m	500k - 1m	32	1	9632959	963295	39931	978
Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	500k_1m	500k - 1m	31	1	9331929	933192	466	0
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	500k_1m	500k - 1m	27	1	8127809	812780	3657	361
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	500k_1m	500k - 1m	26	1	7826779	782677	2829	270
EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	500k_1m	500k - 1m	26	1	7826779	782677	12387	481
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	500k_1m	500k - 1m	24	1	7224719	722471	1715	150
Ciudadanos - Partido de la Ciudadanía		AR309397624253841408	Google	500k_1m	500k - 1m	20	1	6020599	602059	180617	3010
Partido Popular Regional De Canarias		AR288284801977286656	Google	500k_1m	500k - 1m	19	1	5719569	571956	2047	195
Slovenska demokratska stranka		AR170068335415787520	Google	500k_1m	500k - 1m	17	1	5117509	511750	526	30
KKW Koalicja Europejska PO PSL SLD .N Zieloni		AR206097132434751488	Google	500k_1m	500k - 1m	17	1	5117509	511750	1204	105
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	500k_1m	500k - 1m	16	1	4816479	481647	46810	918
Future Innovation SRL		AR474748779908562944	Google	500k_1m	500k - 1m	16	1	4816479	481647	29049	647
SoftCream Longina Śniecikowska BAreńska		AR39744596565032960	Google	500k_1m	500k - 1m	15	1	4515449	451544	1851	180
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	500k_1m	500k - 1m	15	1	4515449	451544	117702	1986
ENTUSIASMO Y MUCHO VALOR, S.L.U.		AR433345570053029888	Google	500k_1m	500k - 1m	15	1	4515449	451544	55540	1038
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	500k_1m	500k - 1m	15	1	4515449	451544	117702	1986
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	500k_1m	500k - 1m	14	1	4214419	421441	1971	195
Open Vld		AR369049153717665792	Google	500k_1m	500k - 1m	13	1	3913389	391338	19717	466
Sloboda a Solidarita		AR242125929453715456	Google	500k_1m	500k - 1m	12	1	3612359	361235	1128	105
HEADS, s.r.o.		AR356967719951663104	Google	500k_1m	500k - 1m	12	1	3612359	361235	1535	150
GRAFTET MICHAŁ TETERYCZ		AR164284079619964928	Google	500k_1m	500k - 1m	11	1	3311329	331132	436	30
Det Konservative Folkeparti		AR40969452518375424	Google	500k_1m	500k - 1m	11	1	3311329	331132	54937	978
ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	500k_1m	500k - 1m	11	1	3311329	331132	978	90
CDA Doetinchem		AR453512812329697280	Google	500k_1m	500k - 1m	11	1	3311329	331132	571	45
COALICION CANARIA		AR489541609348661248	Google	500k_1m	500k - 1m	11	1	3311329	331132	10265	270
Sotsiaaldemokraatlik Erakond		AR61981944358895616	Google	500k_1m	500k - 1m	11	1	3311329	331132	19416	436
Alternativet		AR198061076825243648	Google	500k_1m	500k - 1m	10	1	3010299	301029	28146	556
European Parliament	European Parliament	178362315106	Facebook	500k_1m	500k - 1m	3	1	2999997	1500000	19997	7000
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	500k_1m	500k - 1m	9	1	2709269	270926	948	90
Freiheitliche Partei Österreich		AR333020356698701824	Google	500k_1m	500k - 1m	9	1	2709269	270926	45756	812
Suomen Keskusta r.p.		AR441112520191639552	Google	500k_1m	500k - 1m	9	1	2709269	270926	72397	1219
SPD		AR456734381399080960	Google	500k_1m	500k - 1m	9	1	2709269	270926	90308	10235
Suomen Sosialidemokraattinen Puolue - Finlands Socialdemokratiska  Parti r.p.		AR525570406367625216	Google	500k_1m	500k - 1m	9	1	2709269	270926	72397	1219
Česká Produkční Social Media s.r.o.		AR561937852967944192	Google	500k_1m	500k - 1m	9	1	2709269	270926	1354	135
Cink, s.r.o.		AR361287976015101952	Google	500k_1m	500k - 1m	8	1	2408239	240823	797	75
Socialdemokratiet i Region Midtjylland		AR258908874940088320	Google	500k_1m	500k - 1m	7	1	2107209	210720	9798	225
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	500k_1m	500k - 1m	2	1	1999998	1000000	6940	1735
UAB "BPN LT"		AR135010682042056704	Google	500k_1m	500k - 1m	6	1	1806179	180617	903	90
SPOLU - občianska demokracia		AR194838133366325248	Google	500k_1m	500k - 1m	6	1	1806179	180617	18663	361
Venstres Landsorganisation		AR283015942256984064	Google	500k_1m	500k - 1m	6	1	1806179	180617	54185	903
Fondation Populaire		AR320938922932699136	Google	500k_1m	500k - 1m	6	1	1806179	180617	18663	361
OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO)		AR392996516970627072	Google	500k_1m	500k - 1m	6	1	1806179	180617	27544	496
Socialdemokratiet Sønderborg kreds		AR556939473108074496	Google	500k_1m	500k - 1m	6	1	1806179	180617	903	90
Partido Animalista PACMA		AR145115193901318144	Google	500k_1m	500k - 1m	5	1	1505149	150514	27258	466
Liberal Alliance		AR183859784640888832	Google	500k_1m	500k - 1m	5	1	1505149	150514	45154	752
Pametno		AR222880077921124352	Google	500k_1m	500k - 1m	5	1	1505149	150514	75	0
mmb media agentur d.o.o.		AR524572049809604608	Google	500k_1m	500k - 1m	5	1	1505149	150514	75	0
Progresívne Slovensko		AR114793686864232448	Google	500k_1m	500k - 1m	4	1	1204119	120411	602	60
NEA DEMOKRATIA		AR351183464155840512	Google	500k_1m	500k - 1m	4	1	1204119	120411	9482	195
Občanska demokraticka strana		AR386241117529571328	Google	500k_1m	500k - 1m	4	1	1204119	120411	18227	316
Strana nezávislosti České republiky		AR465054111008555008	Google	500k_1m	500k - 1m	4	1	1204119	120411	195	15
Perussuomalaiset r.p., Sannfinländarna r.p.		AR535217521389731840	Google	500k_1m	500k - 1m	4	1	1204119	120411	27243	466
Vlaams Belang	Vlaams Belang	56605856504	Facebook	500k_1m	500k - 1m	1	1	999999	500000	9999	5000
Beate Meinl-Reisinger	NEOS	243225039137708	Facebook	500k_1m	500k - 1m	1	1	999999	500000	4999	1000
Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	500k_1m	500k - 1m	1	1	999999	500000	499	100
Fianna Fáil		AR101183107301900288	Google	500k_1m	500k - 1m	3	1	903089	90308	316	30
Partidul Uniunea Salvati Romania		AR150822483883196416	Google	500k_1m	500k - 1m	3	1	903089	90308	18212	316
