gender_code_filter	gender_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
m	male	European Parliament		178362315106	Facebook	1800	1	129153523	57467857	681925	168330
m	male	Kialo		729627343834501	Facebook	740	1	65126834	25919684	422687	103388
m	male	Britain's Future	Britain's Future	1625300137516491	Facebook	4480	1	47647771	14806228	556707	74247
m	male	Podemos	Unidas Podemos	269212336568846	Facebook	298	1	47101993	21261993	277793	73311
m	male	People's Vote UK	People's Vote	748608695327755	Facebook	3511	1	46265663	15882665	612251	108326
m	male	Ciudadanos	Ciudadanos	74078667754	Facebook	5169	1	41858335	12698087	417833	30186
m	male	SPD	SPD	47930567748	Facebook	5786	1	27577643	8177601	565945	37528
m	male	Partido Popular	Partido Popular	72249031214	Facebook	1643	1	26237365	9849880	158882	23490
m	male	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	2298	1	25804476	8871038	366922	42826
m	male	Conservatives	The Conservative Party	8807334278	Facebook	1960	1	25690700	9863627	296457	40846
m	male	Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	92	1	21238982	9494035	44810	13054
m	male	We are the 52%	We are the 52%	466744973727718	Facebook	278	1	19154129	7121277	51736	7020
m	male	European Commission		107898832590939	Facebook	92	1	19130908	8861304	77982	19412
m	male	sp.a	sp.a	57253967150	Facebook	416	1	19126839	7596083	88090	18986
m	male	CDU	CDU	78502295414	Facebook	3170	1	18957285	4546099	172342	4039
m	male	Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	179	1	18636252	8460989	54399	12070
m	male	The Labour Party	The Labour Party	25749647410	Facebook	647	1	17800344	7072339	149609	32110
m	male	FDP	FDP	21289227249	Facebook	1629	1	16550168	5020906	150528	7735
m	male	N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	117	1	15616860	6488254	47923	12793
m	male	Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	362	1	15603171	6450499	68589	12982
m	male	Vlaams Belang	Vlaams Belang	56605856504	Facebook	66	1	15060527	6931033	104187	23093
m	male	Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	136	1	14952806	6410045	24228	6202
m	male	Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	51	1	14385773	6772992	28671	12680
m	male	Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	106	1	13962487	5997677	121815	27990
m	male	Best For Britain	Best for Britain	1863944713844924	Facebook	799	1	13799921	5754878	181939	42528
m	male	Partito Democratico		77034286895	Facebook	141	1	12905352	5695781	48883	10697
m	male	România în primul rând	Future Innovation	770704223323599	Facebook	87	1	12500743	5603184	12393	3056
m	male	38 Degrees	38 Degrees	200006375787	Facebook	645	1	11004908	3984263	76809	11664
m	male	Harald Vilimsky		547597092025909	Facebook	178	1	10770755	4590910	101049	23798
m	male	Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	27	1	10655887	4952093	26389	6915
m	male	European Greens	European Greens	141366725876424	Facebook	89	1	10493348	4661851	62850	15681
m	male	Greenpeace France		39435457457	Facebook	130	1	10482066	4702496	48355	11356
m	male	Friends of the Earth	Friends of the Earth	110861655604080	Facebook	2297	1	10275099	3641985	108524	11831
m	male	Sosialidemokraatit SDP		108945982480217	Facebook	311	1	9795447	3784445	65747	14395
m	male	SPÖ	SPÖ	77393060080	Facebook	672	1	9478553	3094907	73529	9470
m	male	Kyriakos Mitsotakis		34848567724	Facebook	80	1	9358021	4001085	21983	4641
m	male	EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	176	1	9080474	3742658	29774	5988
m	male	PSOE	PSOE	189318235003	Facebook	261	1	8871326	3618377	28116	5046
m	male	The Brexit Party	The Brexit Party	230416667843105	Facebook	76	1	7975134	3784967	111006	33045
m	male	Patryk Jaki		199877710116314	Facebook	252	1	7819324	3078362	33912	7608
m	male	Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	79	1	7717642	3490345	18573	4420
m	male	Dungeon Defenders		107960282569653	Facebook	311	1	7632508	2875673	38911	4734
m	male	Un país moderno	Unidas Podemos	577723459314066	Facebook	62	1	7331934	3304146	39798	8498
m	male	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ	82362291274	Facebook	70	1	7231920	3056593	18262	3175
m	male	Fidesz	Fidesz	9844779306	Facebook	76	1	7188663	3394195	23537	11528
m	male	Uniunea Salvați România - USR	Uniunea Salvați România - USR	1058116737612843	Facebook	82	1	7083132	3068790	25430	6068
m	male	Romania #nuepsd	Future Innovation	293215748279337	Facebook	34	1	6699318	3085490	4365	1845
m	male	Giorgos Patoulis	Georgios Patoulis	668804566601196	Facebook	130	1	6452362	2668219	20361	3552
m	male	Greenpeace Deutschland		22541752487	Facebook	436	1	6443501	2325356	35093	4910
m	male	Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	727	1	6406123	2396470	112393	21185
m	male	Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	263	1	6120738	2111361	49333	13295
m	male	UK government	UK government	408582579294175	Facebook	16	1	5911265	2597806	65370	20394
m	male	Πέτρος Κόκκαλης - Petros Kokkalis	Πέτρος Κόκκαλης - Petros Kokkalis	234040963454964	Facebook	180	1	5830568	2081741	22656	2687
m	male	Open Vld	Open Vld	53668151866	Facebook	339	1	5816281	2122981	43425	7688
m	male	ČSSD	ČSSD	111041662264882	Facebook	1352	1	5797851	1509917	28905	7129
m	male	Andreas Schieder	SPÖ	290881691011354	Facebook	162	1	5609863	1788838	44551	8328
m	male	CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	101	1	5507040	2650560	21808	4544
m	male	Claudia Gamon	NEOS	447992848717452	Facebook	263	1	5478313	1867695	38214	6437
m	male	Ανεξάρτητοι 'Ελληνες	Start Business Hellas	343233902394715	Facebook	38	1	5478087	2432239	11136	2244
m	male	Platforma Obywatelska	KKW Koalicja Europejska PO PSL SLD .N Zieloni	102931488739	Facebook	450	1	5146679	1956443	17283	3088
m	male	Right To Vote	Right to Vote	408236463256774	Facebook	358	1	5021042	1262695	43296	6316
m	male	Nemzeti Televízió	Alfahír Hírportál	164061553749320	Facebook	87	1	4997701	2130968	12579	5030
m	male	Vattenfall Sverige		608975645850217	Facebook	28	1	4852544	2236439	59814	17576
m	male	BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	359	1	4852072	1642009	40881	6417
m	male	Párbeszéd Magyarországért	Párbeszéd Magyarországért	113684438795574	Facebook	48	1	4836902	2055554	3713	1265
m	male	ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	82	1	4728986	1978493	20817	4038
m	male	Klang der Solidarität		385076005313967	Facebook	88	1	4615439	1925495	10428	1367
m	male	Greenpeace Italia	Greenpeace Italia	35346524498	Facebook	88	1	4610050	1901286	12329	2263
m	male	DIE LINKE	DIE LINKE	47694585682	Facebook	255	1	4545200	1602837	22435	1768
m	male	kontrast.at	kontrast.at	1079650008770485	Facebook	104	1	4491362	1803005	23649	7487
m	male	Thodoris Kalabokis	Thodoris Kalabokis	311791572779718	Facebook	119	1	4421320	1664110	19991	3079
m	male	Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri	Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri	353868374653514	Facebook	54	1	4381283	1904418	7065	1345
m	male	Fratelli d'Italia	Fratelli d'Italia	355710427861591	Facebook	71	1	4304815	1770663	21801	5570
m	male	Referendum Commission		580832208630212	Facebook	28	1	4259803	1932198	28033	5831
m	male	Ben Houchen - Tees Valley Mayor	Ben Houchen	1934566156780439	Facebook	143	1	4132321	1430918	28541	5808
m	male	Banque mondiale		155174084508744	Facebook	107	1	4092804	1575606	7115	127
m	male	Fără Penali în Funcții Publice	Uniunea Salvați România - USR	275621429636078	Facebook	39	1	3985241	1853894	11939	3076
m	male	Esquerra Republicana de Catalunya	Esquerra Republicana de Catalunya	150234575797	Facebook	162	1	3964207	1678929	16185	2863
m	male	ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	34	1	3942611	1773605	5099	1366
m	male	Initiative Neue Soziale Marktwirtschaft (INSM)	Initiative Neue Soziale Marktwirtschaft (INSM)	121678260974	Facebook	708	1	3921499	957165	53940	1395
m	male	PSC Partit dels  Socialistes de Catalunya	PSC Partit dels  Socialistes de Catalunya	87930687376	Facebook	87	1	3918102	1639256	25677	6306
m	male	Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	196	1	3882883	1421365	7420	2467
m	male	Facebook Brussels	Facebook	287739491272583	Facebook	18	1	3796665	1641101	36800	9433
m	male	John Crombez	sp.a	264131406977201	Facebook	85	1	3783718	1492771	22720	4498
m	male	Angelika Winzig	Wirtschaftsbund Österreich	141015722773374	Facebook	1271	1	3747037	830420	83868	2605
m	male	Peter Mertens	PVDA	236485149843971	Facebook	522	1	3741097	1044556	42906	4175
m	male	Kostas Dervos	Kostas Dervos	1970779819866623	Facebook	178	1	3721794	1077695	12356	207
m	male	HC Strache	FPÖ	74865038590	Facebook	79	1	3687363	1546213	24225	6805
m	male	Greens/EFA in the European Parliament		150527751674751	Facebook	57	1	3673837	1579992	5631	782
m	male	Partei der Humanisten	Partei der Humanisten	499613946840551	Facebook	343	1	3666019	974601	30407	1944
m	male	Parlement européen en France	Parlement européen en France	279757933824	Facebook	36	1	3629963	1414999	13964	3699
