advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	m	male	2085	1	149015162	66060822	773369	191173
Kialo		729627343834501	Facebook	m	male	849	1	69365568	26957592	454250	109204
Britain's Future	Britain's Future	1625300137516491	Facebook	m	male	4480	1	47647771	14806228	556707	74247
Podemos	Unidas Podemos	269212336568846	Facebook	m	male	300	1	47280531	21351263	278400	73432
People's Vote UK	People's Vote	748608695327755	Facebook	m	male	3516	1	46213630	15873496	611546	108113
Ciudadanos	Ciudadanos	74078667754	Facebook	m	male	5165	1	41855311	12697717	417680	30186
SPD	SPD	47930567748	Facebook	m	male	6194	1	30511796	9080628	607676	39492
European Greens		141366725876424	Facebook	m	male	285	1	28852585	12669063	159146	39403
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	m	male	250	1	28398640	12697648	69225	15602
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	m	male	2406	1	27144598	9099605	391073	46052
Partido Popular	Partido Popular	72249031214	Facebook	m	male	1643	1	26237365	9849880	158882	23490
Conservatives	The Conservative Party	8807334278	Facebook	m	male	2206	1	25863032	9869002	315853	41184
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	m	male	102	1	24515935	11128243	52909	15028
sp.a	sp.a	57253967150	Facebook	m	male	453	1	22521989	9142682	105192	23139
FDP	FDP	21289227249	Facebook	m	male	2137	1	21510182	6702517	200448	10949
We are the 52%	We are the 52%	466744973727718	Facebook	m	male	278	1	19154129	7121277	51736	7020
European Commission		107898832590939	Facebook	m	male	92	1	19130908	8861304	77982	19412
CDU	CDU	78502295414	Facebook	m	male	3170	1	18957285	4546099	172342	4039
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	m	male	133	1	18381786	7715506	72244	23503
The Labour Party	The Labour Party	25749647410	Facebook	m	male	683	1	18351373	7342808	156857	33096
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	m	male	67	1	18314024	8532422	37267	16630
Vlaams Belang	Vlaams Belang	56605856504	Facebook	m	male	77	1	17703744	8206889	139090	35716
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	m	male	405	1	17389674	7228817	77079	14389
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	m	male	129	1	17125764	7437429	149883	34616
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	m	male	153	1	16763225	7214922	27027	6960
