advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	f	female	2085	1	147781852	65644836	729567	182309
Podemos	Unidas Podemos	269212336568846	Facebook	f	female	333	1	57517724	25534152	342255	87999
Partido Popular	Partido Popular	72249031214	Facebook	f	female	3639	1	55293200	18244577	426359	37410
Ciudadanos	Ciudadanos	74078667754	Facebook	f	female	5241	1	48741782	15018047	463804	37839
People's Vote UK	People's Vote	748608695327755	Facebook	f	female	3499	1	48370979	16783920	625899	113334
Britain's Future	Britain's Future	1625300137516491	Facebook	f	female	4475	1	34929282	10779069	432754	60769
European Greens		141366725876424	Facebook	f	female	285	1	34140788	15052377	200398	48643
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	f	female	2315	1	28142716	9529455	395964	52281
SPD	SPD	47930567748	Facebook	f	female	6851	1	28120153	7713332	578637	24836
Best For Britain	Best for Britain	1863944713844924	Facebook	f	female	866	1	26178170	11199001	312712	74000
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	f	female	2410	1	25469552	8626471	306447	31606
sp.a	sp.a	57253967150	Facebook	f	female	456	1	25419835	10401346	124030	27196
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	f	female	248	1	22783133	10259869	50927	11558
The Labour Party	The Labour Party	25749647410	Facebook	f	female	689	1	21225842	8633555	170416	37488
Greenpeace France		39435457457	Facebook	f	female	129	1	19856119	9048618	105275	24182
Conservatives	The Conservative Party	8807334278	Facebook	f	female	2109	1	19624652	7563864	235967	30048
CDU	CDU	78502295414	Facebook	f	female	3170	1	19610479	4709937	174052	4243
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	f	female	102	1	18519508	8454562	42029	12131
FDP	FDP	21289227249	Facebook	f	female	2284	1	18306318	5401877	161405	8917
România în primul rând	Future Innovation	770704223323599	Facebook	f	female	95	1	17303669	7531966	19239	4636
Kialo		729627343834501	Facebook	f	female	856	1	16840904	6665229	113555	27883
PSOE	PSOE	189318235003	Facebook	f	female	335	1	16625289	6616832	49832	9456
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	f	female	134	1	14100714	5863684	56730	17673
38 Degrees	38 Degrees	200006375787	Facebook	f	female	659	1	13885690	5086716	93810	13531
Rädda Barnen		72659261793	Facebook	f	female	417	1	13798147	4596514	124664	31242
