advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	m	male	1802	1	129941584	57759868	683185	169219
Kialo		729627343834501	Facebook	m	male	808	1	67556172	26572827	434545	105115
Britain's Future	Britain's Future	1625300137516491	Facebook	m	male	4480	1	47647771	14806228	556707	74247
Podemos	Unidas Podemos	269212336568846	Facebook	m	male	299	1	47135754	21268746	277859	73311
People's Vote UK	People's Vote	748608695327755	Facebook	m	male	3517	1	46306879	15894092	612443	108326
Ciudadanos	Ciudadanos	74078667754	Facebook	m	male	5169	1	41858335	12698087	417833	30186
SPD	SPD	47930567748	Facebook	m	male	6121	1	28732184	8479753	598329	38212
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	m	male	2298	1	26606462	9024882	374829	44817
Partido Popular	Partido Popular	72249031214	Facebook	m	male	1643	1	26237365	9849880	158882	23490
Conservatives	The Conservative Party	8807334278	Facebook	m	male	1960	1	25696141	9865209	297643	41135
European Greens		141366725876424	Facebook	m	male	266	1	25473044	11236243	142883	35684
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	m	male	231	1	24560315	10973628	64809	14475
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	m	male	95	1	23083118	10572207	55897	14644
sp.a	sp.a	57253967150	Facebook	m	male	446	1	20795996	8330035	97733	20964
We are the 52%	We are the 52%	466744973727718	Facebook	m	male	278	1	19154129	7121277	51736	7020
European Commission		107898832590939	Facebook	m	male	92	1	19130908	8861304	77982	19412
FDP	FDP	21289227249	Facebook	m	male	1741	1	18996490	5880928	165952	9482
CDU	CDU	78502295414	Facebook	m	male	3170	1	18957285	4546099	172342	4039
The Labour Party	The Labour Party	25749647410	Facebook	m	male	647	1	18076750	7237893	153588	32659
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	m	male	131	1	17308844	7270090	56818	15034
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	m	male	391	1	17120414	7147268	76370	14518
Vlaams Belang	Vlaams Belang	56605856504	Facebook	m	male	74	1	16551064	7609995	115571	27517
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	m	male	64	1	16159767	7594963	33356	14873
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	m	male	139	1	15604454	6755416	24737	6496
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	m	male	120	1	15416053	6680785	129804	30396
