advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
SF - Socialistisk Folkeparti		AR76998249537339392	Google	118	1	3250000	210000	69850	1450
Fidesz	Fidesz	9844779306	Facebook	18	1	3249982	1480000	14702	6530
DOPRAVA		AR56197688563073024	Google	12	1	3180000	310000	92250	1700
CENTERPARTIETS RIKSORGANISATION		AR484881879070146560	Google	280	1	2980000	20000	112850	2500
Petteri Rädyn tukiyhdistys ry		AR427131130332839936	Google	17	1	2870000	280000	153750	2850
FDP	FDP	21289227249	Facebook	860	1	2859140	461000	86340	300
Avaaz	Avaaz	8340223883	Facebook	10	1	2849990	1130000	4690	1200
Jukka Kopra		AR232680299937398784	Google	13	1	2560000	250000	122250	2200
Socialdemokratiet		AR237678679797268480	Google	25	1	2410000	230000	37500	1200
Gestion et Action Libérale		AR201311233196949504	Google	210	1	2370000	30000	105750	2100
GREEN DAY, s.r.o		AR423241058193768448	Google	57	1	2370000	190000	5550	300
Saku Petteri Räty		AR196651502918434816	Google	27	1	2340000	210000	63950	1300
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	855	1	2327145	398000	85445	200
TOP 09		AR268709096956362752	Google	156	1	2280000	80000	7800	0
Remain United	Centrum Campaign Ltd	388121018451293	Facebook	28	1	2264972	848000	8993	2082
Barcelona en Comú		AR342176264901099520	Google	64	1	2260000	170000	5900	300
Sozialdemokratische Partei Österreich		AR89974685768351744	Google	9	1	2250000	220000	62150	1200
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	65	1	2249935	889000	5501	1799
Start Business Hellas Single Member P.C.		AR513164341793521664	Google	2	1	2000000	200000	60000	1000
CDU-Kreisverband Neustadt		AR152876371603881984	Google	2	1	2000000	200000	1000	100
Občanská demokratická strana		AR37429025076936704	Google	12	1	1920000	190000	4650	450
Teknologia ja tulevaisuus ry		AR340766690994290688	Google	22	1	1840000	170000	2900	200
Conservatives	The Conservative Party	8807334278	Facebook	730	1	1816270	290000	84555	231
Massimiliano Santini	Massimiliano Ghelfi	389585871653842	Facebook	38	1	1772962	638000	5762	500
Socialdemokraterne Aarhus 1. Kreds		AR152882144039927808	Google	95	1	1760000	90000	7000	250
Bündnis 90/Die Grünen Baden-Württemberg		AR17917091730423808	Google	174	1	1740000	0	10050	150
Pirkanmaan Kokoomus ry		AR571246318408695808	Google	12	1	1740000	170000	64550	1450
INBOX	New Digital Media	369693523475596	Facebook	15	1	1714985	743000	2285	200
EUpositive.sk		AR348804120993333248	Google	20	1	1640000	150000	1900	100
