location_code_filter	location_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
capital_region_of_denmark_DK	Capital Region of Denmark, Denmark	Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	354	1	4254398	1455901	31007	8004
capital_region_of_denmark_DK	Capital Region of Denmark, Denmark	European Parliament		178362315106	Facebook	80	1	1774589	738224	15445	3307
capital_region_of_denmark_DK	Capital Region of Denmark, Denmark	Liberal Alliance	Liberal Alliance	106952222676974	Facebook	713	1	1728511	389823	14031	2948
capital_region_of_denmark_DK	Capital Region of Denmark, Denmark	Det Konservative Folkeparti	Det Konservative Folkeparti	39233495912	Facebook	156	1	1427175	411389	18988	4793
capital_region_of_denmark_DK	Capital Region of Denmark, Denmark	Red Barnet		67571270393	Facebook	87	1	1179152	396991	19515	4959
capital_region_of_denmark_DK	Capital Region of Denmark, Denmark	Socialdemokratiet	Socialdemokratiet	41459763029	Facebook	108	1	1130889	379244	15767	3820
capital_region_of_denmark_DK	Capital Region of Denmark, Denmark	Lizette Risgaard		547601668763372	Facebook	71	1	1059112	438772	8864	2541
capital_region_of_denmark_DK	Capital Region of Denmark, Denmark	Pernille Weiss	Det Konservative Folkeparti	2071183673144991	Facebook	27	1	648477	255760	9760	2591
capital_region_of_denmark_DK	Capital Region of Denmark, Denmark	Pia Olsen Dyhr	SF	49348971479	Facebook	51	1	614165	183355	6199	1500
capital_region_of_denmark_DK	Capital Region of Denmark, Denmark	SF	SF	74796954245	Facebook	63	1	605543	188385	5354	1278
capital_region_of_denmark_DK	Capital Region of Denmark, Denmark	Nikolaj Bøgh	Nikolaj Bøgh	674034729594774	Facebook	24	1	531976	142000	3960	937
capital_region_of_denmark_DK	Capital Region of Denmark, Denmark	Mette Frederiksen	Socialdemokratiet	57497067718	Facebook	17	1	520035	238340	3964	1631
capital_region_of_denmark_DK	Capital Region of Denmark, Denmark	World Animal Protection Danmark		33588644626	Facebook	5	1	506977	210505	6024	1352
capital_region_of_denmark_DK	Capital Region of Denmark, Denmark	Oatly		214112085661044	Facebook	2	1	502148	201548	5019	990
capital_region_of_denmark_DK	Capital Region of Denmark, Denmark	Claus Hasselmanns - Folketingskandidat		611297145887529	Facebook	23	1	498866	160277	2954	683
capital_region_of_denmark_DK	Capital Region of Denmark, Denmark	Enhedslisten	Enhedslisten	223040066022	Facebook	41	1	489819	136483	2678	784
capital_region_of_denmark_DK	Capital Region of Denmark, Denmark	Dansk Industri - DI	Dansk Industri	141343589252160	Facebook	33	1	470949	124249	3689	923
capital_region_of_denmark_DK	Capital Region of Denmark, Denmark	Dansk Folkeparti	Dansk Folkeparti	520449347983427	Facebook	15	1	457128	192108	4902	1400
capital_region_of_denmark_DK	Capital Region of Denmark, Denmark	Sophie Løhde	Sophie Løhde	699619700116377	Facebook	23	1	456794	130691	5940	1278
capital_region_of_denmark_DK	Capital Region of Denmark, Denmark	Alternativet	Alternativet	676061179094769	Facebook	13	1	411345	167580	4916	1321
capital_region_of_denmark_DK	Capital Region of Denmark, Denmark	Facebook Nordic	Facebook	334318366655425	Facebook	4	1	386821	193411	2589	1294
capital_region_of_denmark_DK	Capital Region of Denmark, Denmark	Røde Kors		65929129383	Facebook	27	1	379878	91281	3994	1227
capital_region_of_denmark_DK	Capital Region of Denmark, Denmark	Oxfam IBIS	Oxfam IBIS	144965885963	Facebook	34	1	374698	118287	3915	1038
capital_region_of_denmark_DK	Capital Region of Denmark, Denmark	Morten Østergaard	Radikale Venstre	252520351444054	Facebook	35	1	368874	85725	1761	378
capital_region_of_denmark_DK	Capital Region of Denmark, Denmark	Mellemfolkeligt Samvirke	Mellemfolkeligt Samvirke	5624899398	Facebook	93	1	338375	83223	3124	863
