location_code	location_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
england_UK	England, United Kingdom	48413	4571	742167580	250929076	9250036	1243929
flemish_region_BE	Flemish Region, Belgium	7875	1535	158866036	61549291	1068663	184142
andalusia_ES	Andalusia, Spain	9219	1135	97577615	37107264	650096	96359
cataluna_ES	Cataluña, Spain	8399	1208	87063171	34966641	530291	91957
comunidad_valenciana_ES	Comunidad Valenciana, Spain	8621	1081	67264156	26299638	401490	67188
nordrhein_westfalen_DE	Nordrhein-Westfalen, Germany	17572	1959	64776609	20843599	645188	57901
comunidad_de_madrid_ES	Comunidad de Madrid, Spain	8094	1113	60519669	24258129	390211	66721
attica_region_EL	Attica (region), Greece	4783	996	59306218	21458570	246184	24725
scotland_UK	Scotland, United Kingdom	19085	2082	52167774	18317045	568273	85953
vienna_AT	Vienna, Austria	6716	1008	51684872	17915533	455468	66599
lombardia_IT	Lombardia, Italy	8912	2477	49101063	17979001	263976	27776
wales_UK	Wales, United Kingdom	21255	2160	47059060	15815676	548799	76602
ile_de_france_FR	Île-de-France, France	8235	2059	44120791	16664444	366592	61031
wallonia_BE	Wallonia, Belgium	5532	1364	39793159	14533956	262031	39780
baden_wurttemberg_DE	Baden-Württemberg, Germany	17676	1910	39658850	12786163	482554	37058
lazio_IT	Lazio, Italy	7986	2176	35248230	12909371	187762	20982
bayern_DE	Bayern, Germany	16741	1894	33567165	11248386	389570	38440
campania_IT	Campania, Italy	7510	1956	31539868	11759279	154838	16921
brussels_BE	Brussels, Belgium	6316	1389	29665855	10680105	216891	33458
stockholm_county_SE	Stockholm County, Sweden	6341	1094	29604109	9786933	252170	60460
budapest_HU	Budapest, Hungary	3202	776	29270073	11908467	80945	24067
islas_canarias_ES	Islas Canarias, Spain	6876	979	29223673	10760289	179480	24750
bucharest_RO	Bucharest, Romania	3424	802	28187483	11469473	69153	14796
galicia_ES	Galicia, Spain	7109	896	27776117	10162263	218725	25267
piedmont_IT	Piedmont, Italy	8100	2126	27525097	9809718	145102	14982
sicilia_IT	Sicilia, Italy	7165	1873	27254631	10043983	135516	14927
castilla_y_leon_ES	Castilla y Leon, Spain	8634	893	24727930	8740519	252545	22207
emilia_romagna_IT	Emilia-Romagna, Italy	8020	2203	24642125	8771265	147498	13789
central_macedonia_EL	Central Macedonia, Greece	4026	849	24522460	8821271	99902	8988
niedersachsen_DE	Niedersachsen, Germany	16124	1676	24084264	7530832	269985	20582
hessen_DE	Hessen, Germany	16226	1732	23279066	7416989	265901	23524
veneto_IT	Veneto, Italy	7638	2114	22689902	8082083	121880	11342
tuscany_IT	Tuscany, Italy	7532	2079	22636329	8196426	130046	11923
puglia_IT	Puglia, Italy	7277	1895	22323184	8084391	109450	10575
berlin_DE	Berlin, Germany	15546	1744	21641876	7164664	250753	27198
capital_region_of_denmark_DK	Capital Region of Denmark, Denmark	5264	984	21568963	6639470	206928	47040
rhone_alpes_FR	Rhône-Alpes, France	7088	1654	20939620	8059820	179574	29436
vastra_gotaland_county_SE	Västra Götaland County, Sweden	5826	960	20674909	7058842	175342	42987
uusimaa_FI	Uusimaa, Finland	3503	773	19820248	6810899	210605	34896
central_region_MT	Central Region, Malta	3647	699	19745444	6599548	119684	7759
zuid_holland_NL	Zuid-Holland, Netherlands	4397	950	19394327	7462453	161038	30263
aragon_ES	Aragón, Spain	9294	847	19011586	5666089	405638	11407
upper_austria_AT	Upper Austria, Austria	6248	791	18355505	5865835	216735	20466
castilla_la_mancha_ES	Castilla-La Mancha, Spain	7307	862	17932838	6781396	136646	17252
rheinland_pfalz_DE	Rheinland-Pfalz, Germany	16078	1722	17603333	5231944	245568	14993
masovian_voivodeship_PL	Masovian Voivodeship, Poland	3767	969	16275716	5960036	53859	9832
provence_alpes_cote_dazur_FR	Provence-Alpes-Côte d'Azur, France	7096	1663	16092133	6069783	124316	18058
noord_holland_NL	Noord-Holland, Netherlands	4441	979	15823433	5927362	142764	25701
northern_ireland_UK	Northern Ireland, United Kingdom	15019	1810	15676976	5385746	188199	18479
central_denmark_region_DK	Central Denmark Region, Denmark	4852	861	15292955	4719247	136522	31435
skane_county_SE	Skåne County, Sweden	5728	958	15264825	5244141	127892	31324
balearic_islands_ES	Balearic Islands, Spain	6217	882	15027230	5358106	95529	12625
region_of_murcia_ES	Region of Murcia, Spain	6253	879	13919712	5234714	87094	12214
nord_pas_de_calais_FR	Nord-Pas-de-Calais, France	6664	1567	13754707	5410560	107751	19840
lisbon_district_PT	Lisbon District, Portugal	2953	901	13715555	5378097	55212	8741
dublin_IE	Dublin, Ireland	3301	880	13639334	5396465	89668	12727
prague_CZ	Prague, Czechia	3633	639	13599112	4496520	53435	12630
silesian_voivodeship_PL	Silesian Voivodeship, Poland	3300	870	13191630	4708292	33745	5968
pais_vasco_ES	País Vasco, Spain	5243	864	13017008	5053685	94340	13555
region_of_southern_denmark_DK	Region of Southern Denmark, Denmark	4647	838	12730610	3918654	120271	26324
hamburg_DE	Hamburg, Germany	14644	1549	12284192	3933900	144603	14082
bratislava_region_SK	Bratislava Region, Slovakia	4484	587	12198232	4073453	83287	8561
styria_AT	Styria, Austria	5303	786	12078618	4292912	105424	16044
extremadura_ES	Extremadura, Spain	5635	772	11997194	4456145	95126	10523
