advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
CDU	CDU	78502295414	Facebook	18_24	18-24	4995	1	4101553	684998	160251	0
Gouvernement	Gouvernement	392341217527576	Facebook	18_24	18-24	10	1	2492950	1055799	3673	920
Green Party of England and Wales	The Green Party of England and Wales	20995300784	Facebook	18_24	18-24	20	1	1293906	582181	4043	1192
Remain United	Centrum Campaign Ltd	388121018451293	Facebook	18_24	18-24	28	1	910597	336260	3432	779
Avaaz	Avaaz	8340223883	Facebook	18_24	18-24	10	1	775659	310766	833	175
FDP	FDP	21289227249	Facebook	18_24	18-24	837	1	772829	118606	25337	77
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	18_24	18-24	799	1	747400	116583	30738	31
Massimiliano Santini	Massimiliano Ghelfi	389585871653842	Facebook	18_24	18-24	36	1	711302	254087	1874	83
Wiosna Biedronia	KW Wiosna Roberta Biedronia	2246647628925721	Facebook	18_24	18-24	4	1	644113	264902	2276	965
European Parliament	European Parliament	178362315106	Facebook	18_24	18-24	39	1	625133	283418	5279	1885
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	18_24	18-24	63	1	601149	256549	1401	494
Prawo i Sprawiedliwość	Komitet Wyborczy Prawo i Sprawiedliwość	157458232131	Facebook	18_24	18-24	5	1	528437	223053	1093	218
Vlaams Belang	Vlaams Belang	56605856504	Facebook	18_24	18-24	9	1	487318	215353	7003	2111
Akcja Demokracja	Akcja Demokracja	277892342334350	Facebook	18_24	18-24	6	1	417092	180488	1551	306
INBOX	New Digital Media	369693523475596	Facebook	18_24	18-24	11	1	370590	163137	410	50
Det Konservative Folkeparti	Det Konservative Folkeparti	39233495912	Facebook	18_24	18-24	20	1	362413	74301	4851	994
Fidesz	Fidesz	9844779306	Facebook	18_24	18-24	13	1	348837	152674	1564	679
Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	18_24	18-24	19	1	343091	126525	1005	281
Gyöngyösi Márton	Országgyűlés Hivatala Jobbik Frakció	781030738624077	Facebook	18_24	18-24	4	1	310177	133000	564	282
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	18_24	18-24	272	1	308192	69683	9275	0
MR - Mouvement Réformateur	MR - Mouvement Réformateur	236330169511	Facebook	18_24	18-24	193	1	271293	27042	17255	0
CDH - Centre Démocrate Humaniste	CDH - Centre Démocrate Humaniste	189649407806135	Facebook	18_24	18-24	34	1	267718	78647	640	0
Party of the European Left	Franziska Laskowski	160598290012	Facebook	18_24	18-24	1	1	247451	98980	246	49
Θοδωρής Ζαγοράκης / Thodoris Zagorakis	Θοδωρής Ζαγοράκης / Thodoris Zagorakis	235332330007800	Facebook	18_24	18-24	1	1	226146	90458	225	45
Beate Meinl-Reisinger	NEOS	243225039137708	Facebook	18_24	18-24	3	1	213892	106946	1190	311
