advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	media_code_filter	media_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	text	Text	72	1	32940000	3260000	377400	7600
SPD		AR456734381399080960	Google	text	Text	32	1	10310000	1020000	574750	38950
mmb media agentur d.o.o.		AR524572049809604608	Google	text	Text	355	1	4990000	160000	17750	0
Suomen Sosialidemokraattinen Puolue - Finlands Socialdemokratiska  Parti r.p.		AR525570406367625216	Google	text	Text	63	1	3960000	340000	192300	4050
CENTERPARTIETS RIKSORGANISATION		AR484881879070146560	Google	text	Text	280	1	2980000	20000	112850	2500
Det Konservative Folkeparti		AR40969452518375424	Google	text	Text	242	1	2420000	0	17500	600
Gestion et Action Libérale		AR201311233196949504	Google	text	Text	210	1	2370000	30000	105750	2100
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	text	Text	56	1	2180000	170000	191500	4000
Partidul Uniunea Salvati Romania		AR150822483883196416	Google	text	Text	5	1	2120000	210000	90550	1550
Bündnis90/ Die Grünen		AR207068276079984640	Google	text	Text	126	1	1980000	80000	77450	2250
GREEN DAY, s.r.o		AR423241058193768448	Google	text	Text	45	1	1890000	150000	4500	250
Bündnis 90/Die Grünen Baden-Württemberg		AR17917091730423808	Google	text	Text	174	1	1740000	0	10050	150
Future Innovation SRL		AR474748779908562944	Google	text	Text	4	1	1210000	120000	61000	1100
HLAS		AR312619193323225088	Google	text	Text	95	1	1130000	20000	11950	800
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	text	Text	67	1	1120000	50000	189800	3750
SF - Socialistisk Folkeparti		AR76998249537339392	Google	text	Text	111	1	1110000	0	9150	400
NÁRODNÁ KOALÍCIA		AR12498698428743680	Google	text	Text	2	1	1100000	110000	30500	550
Partito Democratico		AR254356072167374848	Google	text	Text	26	1	1070000	90000	274450	4900
Freiheitliche Partei Österreich		AR333020356698701824	Google	text	Text	39	1	930000	60000	154400	2800
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	text	Text	57	1	840000	30000	99450	2250
Varsinais-Suomen Kokoomus ry		AR199136399197208576	Google	text	Text	51	1	780000	30000	9300	750
European People’s Party		AR308399267695820800	Google	text	Text	31	1	760000	50000	94100	1800
Alternative für Deutschland		AR380456861733748736	Google	text	Text	9	1	630000	60000	2700	250
Perussuomalaiset r.p., Sannfinländarna r.p.		AR535217521389731840	Google	text	Text	28	1	550000	30000	35400	950
SPOLU - občianska demokracia		AR194838133366325248	Google	text	Text	50	1	500000	0	2500	0
Unitas		AR53945888749387776	Google	text	Text	49	1	490000	0	2900	50
Yhteinen hyvä ry		AR296997332115783680	Google	text	Text	35	1	440000	10000	3550	200
SPD Berlin		AR257142234632159232	Google	text	Text	14	1	410000	30000	2500	200
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	text	Text	39	1	390000	0	1950	0
Petteri Rädyn tukiyhdistys ry		AR427131130332839936	Google	text	Text	10	1	370000	30000	61750	1150
Maailman Paras Pääkaupunki ry		AR221113437613195264	Google	text	Text	17	1	350000	20000	4900	450
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	text	Text	17	1	350000	20000	61200	1050
Pirkanmaan Kokoomus ry		AR571246318408695808	Google	text	Text	7	1	340000	30000	62050	1200
TOP 09		AR268709096956362752	Google	text	Text	30	1	300000	0	1500	0
Socialdemokratiet Sønderborg kreds		AR556939473108074496	Google	text	Text	27	1	270000	0	1350	0
