advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	m	male	1800	1	129153523	57467857	681925	168330
Kialo		729627343834501	Facebook	m	male	740	1	65126834	25919684	422687	103388
Britain's Future	Britain's Future	1625300137516491	Facebook	m	male	4480	1	47647771	14806228	556707	74247
Podemos	Unidas Podemos	269212336568846	Facebook	m	male	298	1	47101993	21261993	277793	73311
People's Vote UK	People's Vote	748608695327755	Facebook	m	male	3511	1	46265663	15882665	612251	108326
Ciudadanos	Ciudadanos	74078667754	Facebook	m	male	5169	1	41858335	12698087	417833	30186
SPD	SPD	47930567748	Facebook	m	male	5786	1	27577643	8177601	565945	37528
Partido Popular	Partido Popular	72249031214	Facebook	m	male	1643	1	26237365	9849880	158882	23490
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	m	male	2298	1	25804476	8871038	366922	42826
Conservatives	The Conservative Party	8807334278	Facebook	m	male	1960	1	25690700	9863627	296457	40846
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	m	male	92	1	21238982	9494035	44810	13054
We are the 52%	We are the 52%	466744973727718	Facebook	m	male	278	1	19154129	7121277	51736	7020
European Commission		107898832590939	Facebook	m	male	92	1	19130908	8861304	77982	19412
sp.a	sp.a	57253967150	Facebook	m	male	416	1	19126839	7596083	88090	18986
CDU	CDU	78502295414	Facebook	m	male	3170	1	18957285	4546099	172342	4039
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	m	male	179	1	18636252	8460989	54399	12070
The Labour Party	The Labour Party	25749647410	Facebook	m	male	647	1	17800344	7072339	149609	32110
FDP	FDP	21289227249	Facebook	m	male	1629	1	16550168	5020906	150528	7735
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	m	male	117	1	15616860	6488254	47923	12793
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	m	male	362	1	15603171	6450499	68589	12982
Vlaams Belang	Vlaams Belang	56605856504	Facebook	m	male	66	1	15060527	6931033	104187	23093
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	m	male	136	1	14952806	6410045	24228	6202
Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	m	male	51	1	14385773	6772992	28671	12680
Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	m	male	106	1	13962487	5997677	121815	27990
Best For Britain	Best for Britain	1863944713844924	Facebook	m	male	799	1	13799921	5754878	181939	42528
