spend_code_filter	spend_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
1k_5k	1k - 5k	European Parliament		178362315106	Facebook	170	1	106747889	49955489	732932	157799
1k_5k	1k - 5k	Podemos	Unidas Podemos	269212336568846	Facebook	87	1	58899913	26800000	434913	87000
1k_5k	1k - 5k	People's Vote UK	People's Vote	748608695327755	Facebook	137	1	24697268	10848172	296449	80696
1k_5k	1k - 5k	European Greens		141366725876424	Facebook	43	1	24299957	11100000	214957	43000
1k_5k	1k - 5k	Vlaams Belang	Vlaams Belang	56605856504	Facebook	32	1	21799968	10200000	159968	32000
1k_5k	1k - 5k	Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	62	1	20834450	9716911	44537	14581
1k_5k	1k - 5k	Greenpeace France		39435457457	Facebook	25	1	19899975	9600000	124975	25000
1k_5k	1k - 5k	Partido Popular	Partido Popular	72249031214	Facebook	26	1	19899974	9500000	129974	26000
1k_5k	1k - 5k	Kialo		729627343834501	Facebook	59	1	19668793	8870784	174006	44131
1k_5k	1k - 5k	Conservatives	The Conservative Party	8807334278	Facebook	64	1	18857049	8750830	142664	38138
1k_5k	1k - 5k	Best For Britain	Best for Britain	1863944713844924	Facebook	79	1	18003631	8200032	197024	49287
1k_5k	1k - 5k	Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	34	1	17999966	7800000	169966	34000
1k_5k	1k - 5k	Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	92	1	15353677	6942915	46499	9931
1k_5k	1k - 5k	European Commission		107898832590939	Facebook	17	1	14999983	7300000	84983	17000
1k_5k	1k - 5k	The Labour Party	The Labour Party	25749647410	Facebook	64	1	13640587	6081963	119425	35684
1k_5k	1k - 5k	Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	22	1	12237690	5955174	34332	15899
1k_5k	1k - 5k	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	83	1	11131617	5132361	133866	44058
1k_5k	1k - 5k	Ciudadanos	Ciudadanos	74078667754	Facebook	18	1	10099982	4500000	89982	18000
1k_5k	1k - 5k	SPD	SPD	47930567748	Facebook	20	1	9999980	4650000	99980	20000
1k_5k	1k - 5k	sp.a	sp.a	57253967150	Facebook	15	1	9799985	4550000	74985	15000
1k_5k	1k - 5k	Un país moderno	Unidas Podemos	577723459314066	Facebook	13	1	8999987	4100000	64987	13000
1k_5k	1k - 5k	Harald Vilimsky		547597092025909	Facebook	23	1	7999977	3550000	114977	23000
1k_5k	1k - 5k	Referendum Commission		580832208630212	Facebook	11	1	7399989	3500000	54989	11000
1k_5k	1k - 5k	The Brexit Party	The Brexit Party	230416667843105	Facebook	47	1	7054665	3371668	112621	28837
1k_5k	1k - 5k	Sign for my Future	Sign for my Future	1345513882259768	Facebook	12	1	6399988	2800000	59988	12000
1k_5k	1k - 5k	România în primul rând	Future Innovation	770704223323599	Facebook	19	1	6038773	2740678	9269	1854
1k_5k	1k - 5k	Matteo Salvini	Lega - Salvini Premier	252306033154	Facebook	7	1	5999993	2900000	34993	7000
1k_5k	1k - 5k	Partito Democratico		77034286895	Facebook	8	1	5999992	2800000	39992	8000
1k_5k	1k - 5k	Facebook Brussels	Facebook	287739491272583	Facebook	10	1	5999990	2600000	49990	10000
1k_5k	1k - 5k	Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	26	1	5945865	2624547	12685	2537
1k_5k	1k - 5k	Sosialidemokraatit SDP		108945982480217	Facebook	9	1	5699991	2600000	44991	9000
1k_5k	1k - 5k	Vattenfall Sverige		608975645850217	Facebook	19	1	5636620	2623924	66600	20956
1k_5k	1k - 5k	Save the Children España	Save the Children España	57845333112	Facebook	5	1	4999995	2500000	24995	5000
1k_5k	1k - 5k	Save the Children Italia		46590675335	Facebook	6	1	4999994	2400000	29994	6000
1k_5k	1k - 5k	Primes écologique		152399322377561	Facebook	11	1	4599989	1900000	54989	11000
1k_5k	1k - 5k	Britain's Future	Britain's Future	1625300137516491	Facebook	46	1	4540611	2116336	41993	21017
1k_5k	1k - 5k	Friends of the Earth	Friends of the Earth	110861655604080	Facebook	28	1	4437412	2067267	37180	14020
1k_5k	1k - 5k	Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	30	1	4296980	1849267	56434	16774
1k_5k	1k - 5k	Uniunea Salvați România - USR	Uniunea Salvați România - USR	1058116737612843	Facebook	37	1	4296808	1978862	18052	3611
1k_5k	1k - 5k	UK government	UK government	408582579294175	Facebook	13	1	4249635	1794845	46725	9621
1k_5k	1k - 5k	Facebook	Facebook	726281677519881	Facebook	4	1	3999996	2000000	19996	4000
1k_5k	1k - 5k	Avaaz	Avaaz	8340223883	Facebook	8	1	3995938	1886006	22970	5417
1k_5k	1k - 5k	SP	SP	128393027527	Facebook	10	1	3799990	1600000	49990	10000
1k_5k	1k - 5k	N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	7	1	3699993	1600000	34993	7000
1k_5k	1k - 5k	Konfederacja KORWiN Braun Liroy Narodowcy	KWW Konfederacja KORWiN Braun Liroy Narodowcy	1971966879776579	Facebook	10	1	3625678	1773736	10161	4126
1k_5k	1k - 5k	Parlement européen en France	Parlement européen en France	279757933824	Facebook	6	1	3499994	1500000	29994	6000
1k_5k	1k - 5k	La Prime Énergie		336155273400553	Facebook	7	1	3499993	1400000	34993	7000
1k_5k	1k - 5k	38 Degrees	38 Degrees	200006375787	Facebook	12	1	3466132	1449630	25478	7016
1k_5k	1k - 5k	Electoral Commission UK	The Electoral Commission	841894835830532	Facebook	9	1	3443588	1517325	28549	6259
1k_5k	1k - 5k	Make.org	Make.org	122037308191612	Facebook	7	1	3399993	1500000	34993	7000
1k_5k	1k - 5k	Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	16	1	3330362	1532225	29404	8671
1k_5k	1k - 5k	Patryk Jaki		199877710116314	Facebook	26	1	3181600	1393042	16380	4672
1k_5k	1k - 5k	Ben Houchen - Tees Valley Mayor	Ben Houchen	1934566156780439	Facebook	11	1	3122051	1304101	18756	5946
1k_5k	1k - 5k	Europees Parlement Nederland		270788920480	Facebook	8	1	3099992	1300000	39992	8000
1k_5k	1k - 5k	WWF Suomi		119054448115588	Facebook	3	1	2999997	1500000	14997	3000
1k_5k	1k - 5k	Partido Por un Mundo más Justo · M+J	Partido Por un Mundo más Justo · M+J	147468905314265	Facebook	4	1	2999996	1400000	19996	4000
1k_5k	1k - 5k	Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	326441484085577	Facebook	4	1	2999996	1400000	19996	4000
1k_5k	1k - 5k	Bundesregierung		768905426534529	Facebook	5	1	2999995	1300000	24995	5000
1k_5k	1k - 5k	Andreas Schieder	SPÖ	290881691011354	Facebook	6	1	2999994	1200000	29994	6000
1k_5k	1k - 5k	PSC Partit dels  Socialistes de Catalunya	PSC Partit dels  Socialistes de Catalunya	87930687376	Facebook	6	1	2999994	1200000	29994	6000
1k_5k	1k - 5k	Humble Household		1746853745395190	Facebook	11	1	2743475	1184944	30064	7113
1k_5k	1k - 5k	BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	7	1	2599993	1100000	34993	7000
1k_5k	1k - 5k	Agence Isolation Pour Tous		568528630290119	Facebook	7	1	2599993	1100000	34993	7000
1k_5k	1k - 5k	Vlaams Belang Brussel	Vlaams Belang	499682940133305	Facebook	10	1	2599990	1200000	49990	10000
1k_5k	1k - 5k	Campact e.V.	Campact e.V.	82734241364	Facebook	4	1	2499996	1100000	19996	4000
1k_5k	1k - 5k	D66	D66	52985377549	Facebook	4	1	2499996	1100000	19996	4000
1k_5k	1k - 5k	Ayuda LGTB		315021912539118	Facebook	4	1	2499996	1100000	19996	4000
1k_5k	1k - 5k	Paddy Power		108803784913	Facebook	4	1	2499996	1100000	19996	4000
1k_5k	1k - 5k	SPÖ	SPÖ	77393060080	Facebook	5	1	2499995	1000000	24995	5000
1k_5k	1k - 5k	TheArticle	TheArticle	607840469632004	Facebook	11	1	2437286	1067197	24565	6559
1k_5k	1k - 5k	Wiosna Biedronia	KW Wiosna Roberta Biedronia	2246647628925721	Facebook	9	1	2424521	1134052	4092	818
1k_5k	1k - 5k	Aides énergétiques pour tous		789578834730248	Facebook	6	1	2399994	1000000	29994	6000
1k_5k	1k - 5k	Vote For Your Future	Vote For Your Future	2026046207505845	Facebook	5	1	2309832	1055924	19088	3818
1k_5k	1k - 5k	London Gov	the Greater London Authority	713179875369048	Facebook	7	1	2216757	976390	20914	4732
1k_5k	1k - 5k	ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	7	1	2183248	1021947	3415	683
1k_5k	1k - 5k	Greenpeace UK	Greenpeace UK 	9250349228	Facebook	9	1	2160334	935207	14025	4725
1k_5k	1k - 5k	Facebook Nordic	Facebook	334318366655425	Facebook	8	1	2129343	1009133	13387	3607
1k_5k	1k - 5k	Sverigedemokraterna	Sverigedemokraterna	676246449160270	Facebook	10	1	2124298	905262	31629	8871
