advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
European Parliament		178362315106	Facebook	100_1k	100 - 1k	521	1	114251109	50942162	332205	108011
Britain's Future	Britain's Future	1625300137516491	Facebook	100_1k	100 - 1k	4488	1	56978713	17925854	611879	115993
Kialo		729627343834501	Facebook	100_1k	100 - 1k	532	1	45324714	18533978	281901	74533
People's Vote UK	People's Vote	748608695327755	Facebook	100_1k	100 - 1k	3501	1	43294075	13178729	503737	99058
Podemos	Unidas Podemos	269212336568846	Facebook	100_1k	100 - 1k	174	1	38099826	16720000	121326	45000
Ciudadanos	Ciudadanos	74078667754	Facebook	100_1k	100 - 1k	427	1	32619573	12120000	222573	50300
European Greens		141366725876424	Facebook	100_1k	100 - 1k	149	1	29799851	13110000	97851	33700
sp.a	sp.a	57253967150	Facebook	100_1k	100 - 1k	211	1	28869789	12020000	117789	31100
N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	100_1k	100 - 1k	107	1	26509893	11105000	63893	19100
Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	100_1k	100 - 1k	184	1	25221121	11417082	61516	14577
Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	100_1k	100 - 1k	220	1	24719780	10625000	113280	24800
Liberal Democrats	the Liberal Democrats	5883973269	Facebook	100_1k	100 - 1k	3886	1	23570819	8146960	220847	38679
România în primul rând	Future Innovation	770704223323599	Facebook	100_1k	100 - 1k	84	1	23108071	10203668	18689	5631
Partido Popular	Partido Popular	72249031214	Facebook	100_1k	100 - 1k	185	1	22199815	9200000	106815	30100
Friends of the Earth	Friends of the Earth	110861655604080	Facebook	100_1k	100 - 1k	2378	1	20156479	7833249	165041	28725
SPD	SPD	47930567748	Facebook	100_1k	100 - 1k	286	1	19364714	6316000	158714	41400
Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	100_1k	100 - 1k	123	1	18698601	8191168	26604	8160
The Labour Party	The Labour Party	25749647410	Facebook	100_1k	100 - 1k	638	1	18260874	7423857	122573	26525
Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	100_1k	100 - 1k	81	1	16492535	7360795	31919	7079
PSOE	PSOE	189318235003	Facebook	100_1k	100 - 1k	85	1	16409915	7415000	48415	13300
Partito Democratico		77034286895	Facebook	100_1k	100 - 1k	71	1	16249929	7350000	37929	9100
Fidesz	Fidesz	9844779306	Facebook	100_1k	100 - 1k	86	1	15581655	7409933	51436	25428
Kyriakos Mitsotakis		34848567724	Facebook	100_1k	100 - 1k	59	1	15399941	6690000	30941	7100
We are the 52%	We are the 52%	466744973727718	Facebook	100_1k	100 - 1k	278	1	14294232	6282716	45309	8569
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	100_1k	100 - 1k	44	1	14109956	5965000	26456	8000
