advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
AMERISOFT SRL		AR573801583431647232	Google	100_1k	100 - 1k	29	1	191000000	19100000	14500	1449
CDU Christlich Demokratische Union		AR68737343799951360	Google	100_1k	100 - 1k	697	1	32979999	2890000	348500	34850
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	100_1k	100 - 1k	119	1	29979999	2990000	40999	4100
KKW Koalicja Europejska PO PSL SLD .N Zieloni		AR206097132434751488	Google	100_1k	100 - 1k	9	1	27000000	2700000	4500	450
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	100_1k	100 - 1k	50	1	26120000	2610000	19000	1899
Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	100_1k	100 - 1k	9	1	26100000	2610000	4500	450
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	100_1k	100 - 1k	35	1	24210000	2420000	13500	1349
EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	100_1k	100 - 1k	35	1	23110000	2309999	17000	1699
Občanska demokraticka strana		AR386241117529571328	Google	100_1k	100 - 1k	7	1	21200000	2120000	2499	250
KREMSA DIGITAL s.r.o.		AR420840549432426496	Google	100_1k	100 - 1k	12	1	20100000	2010000	6000	599
HEADS, s.r.o.		AR356967719951663104	Google	100_1k	100 - 1k	14	1	20000000	2000000	5500	550
Sloboda a Solidarita ( SaS )		AR185084640594231296	Google	100_1k	100 - 1k	34	1	19600000	1959999	17000	1699
ΑΝΟΡΘΩΤΙΚΟ ΚΟΜΜΑ ΕΡΓΑΖΟΜΕΝΟΥ ΛΑΟΥ (ΑΚΕΛ)		AR429686395355791360	Google	100_1k	100 - 1k	7	1	16000000	1599999	3500	350
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	100_1k	100 - 1k	66	1	14870000	1469999	23499	2350
Open Vld		AR369049153717665792	Google	100_1k	100 - 1k	49	1	14600000	1459999	23499	2350
Future Innovation SRL		AR474748779908562944	Google	100_1k	100 - 1k	44	1	13410000	1339999	9000	899
Partido Popular Regional De Canarias		AR288284801977286656	Google	100_1k	100 - 1k	16	1	13300000	1329999	8000	799
ENTUSIASMO Y MUCHO VALOR, S.L.U.		AR433345570053029888	Google	100_1k	100 - 1k	57	1	13100000	1309999	24999	2500
Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	100_1k	100 - 1k	13	1	13000000	1300000	6500	649
SOCIALDEMOKRATIET		AR271193993235136512	Google	100_1k	100 - 1k	88	1	12420000	1239999	22499	2250
SoftCream Longina Śniecikowska BAreńska		AR39744596565032960	Google	100_1k	100 - 1k	17	1	12320000	1229999	8500	849
GRAFTET MICHAŁ TETERYCZ		AR164284079619964928	Google	100_1k	100 - 1k	3	1	12000000	1200000	1499	150
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	100_1k	100 - 1k	57	1	11880000	1169999	18000	1799
