advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Future Innovation SRL		AR474748779908562944	Google	1k_5k	1k - 5k	34	1	218015224	21801522	468159	7802
Partidul Uniunea Salvati Romania		AR150822483883196416	Google	1k_5k	1k - 5k	39	1	174044996	17404499	537005	8950
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	1k_5k	1k - 5k	24	1	147332394	14733239	330465	5507
PARTIDUL SOCIAL DEMOCRAT - P.S.D.		AR191075604576075776	Google	1k_5k	1k - 5k	39	1	140585396	14058539	537005	8950
COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	1k_5k	1k - 5k	37	1	73161319	7316131	509467	8491
Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	1k_5k	1k - 5k	29	1	59575528	5957552	399312	6655
Kansallinen Kokoomus r.p.		AR210958348219056128	Google	1k_5k	1k - 5k	25	1	53154406	5314981	344234	5737
European Parliament	European Parliament	178362315106	Facebook	1k_5k	1k - 5k	70	1	46599930	21700000	349930	70000
Freiheitliche Partei Österreich		AR333020356698701824	Google	1k_5k	1k - 5k	21	1	40206597	4020659	289157	4819
SOCIALDEMOKRATIET		AR271193993235136512	Google	1k_5k	1k - 5k	57	1	34836538	3483653	784854	13080
Det Konservative Folkeparti		AR40969452518375424	Google	1k_5k	1k - 5k	11	1	33964477	3396447	151463	2524
Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	1k_5k	1k - 5k	13	1	25381561	2538156	179001	2983
Coalición electoral Barcelona és Capital - Primàries		AR338953321442181120	Google	1k_5k	1k - 5k	7	1	23866929	2386692	96385	1606
NEA DEMOKRATIA		AR351183464155840512	Google	1k_5k	1k - 5k	12	1	22031012	2203101	165232	2753
European Greens	European Greens	141366725876424	Facebook	1k_5k	1k - 5k	39	1	20799961	9550000	194961	39000
Ciudadanos - Partido de la Ciudadanía		AR309397624253841408	Google	1k_5k	1k - 5k	26	1	20195094	2019509	358003	5966
Partido Animalista PACMA		AR145115193901318144	Google	1k_5k	1k - 5k	9	1	16523259	1652325	123924	2065
European Commission	European Commission	107898832590939	Facebook	1k_5k	1k - 5k	15	1	13999985	6900000	74985	15000
DIE GRÜNEN – DIE GRÜNE ALTERNATIVE		AR330966468978016256	Google	1k_5k	1k - 5k	13	1	13815280	1381528	179001	2983
Popolari per l'Italia		AR406403961759727616	Google	1k_5k	1k - 5k	3	1	13769382	1376938	41308	688
Párbeszéd Magyarországért		AR567356246269624320	Google	1k_5k	1k - 5k	3	1	13769382	1376938	41308	688
Fidesz	Fidesz	9844779306	Facebook	1k_5k	1k - 5k	69	1	13766252	5928433	76268	32983
SPOLU - občianska demokracia		AR194838133366325248	Google	1k_5k	1k - 5k	10	1	12851423	1285142	137693	2294
