gender_code_filter	gender_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
m	male	European Parliament		178362315106	Facebook	1800	1	129153523	57467857	681925	168330
m	male	Kialo		729627343834501	Facebook	740	1	65126834	25919684	422687	103388
m	male	Britain's Future	Britain's Future	1625300137516491	Facebook	4480	1	47647771	14806228	556707	74247
m	male	Podemos	Unidas Podemos	269212336568846	Facebook	298	1	47101993	21261993	277793	73311
m	male	People's Vote UK	People's Vote	748608695327755	Facebook	3511	1	46265663	15882665	612251	108326
m	male	Ciudadanos	Ciudadanos	74078667754	Facebook	5169	1	41858335	12698087	417833	30186
m	male	SPD	SPD	47930567748	Facebook	5786	1	27577643	8177601	565945	37528
m	male	Partido Popular	Partido Popular	72249031214	Facebook	1643	1	26237365	9849880	158882	23490
m	male	Liberal Democrats	the Liberal Democrats	5883973269	Facebook	2298	1	25804476	8871038	366922	42826
m	male	Conservatives	The Conservative Party	8807334278	Facebook	1960	1	25690700	9863627	296457	40846
m	male	Partidul Social Democrat	Partidul Social Democrat	291177524360702	Facebook	92	1	21238982	9494035	44810	13054
m	male	We are the 52%	We are the 52%	466744973727718	Facebook	278	1	19154129	7121277	51736	7020
m	male	European Commission		107898832590939	Facebook	92	1	19130908	8861304	77982	19412
m	male	sp.a	sp.a	57253967150	Facebook	416	1	19126839	7596083	88090	18986
m	male	CDU	CDU	78502295414	Facebook	3170	1	18957285	4546099	172342	4039
m	male	Alianța 2020 USR PLUS	Uniunea Salvați România - USR	621574984950400	Facebook	179	1	18636252	8460989	54399	12070
m	male	The Labour Party	The Labour Party	25749647410	Facebook	647	1	17800344	7072339	149609	32110
m	male	FDP	FDP	21289227249	Facebook	1629	1	16550168	5020906	150528	7735
m	male	N-VA	Nieuw-Vlaamse Alliantie	334361224413	Facebook	117	1	15616860	6488254	47923	12793
m	male	Silvio Berlusconi	Silvio Berlusconi	116716651695782	Facebook	362	1	15603171	6450499	68589	12982
m	male	Vlaams Belang	Vlaams Belang	56605856504	Facebook	66	1	15060527	6931033	104187	23093
m	male	Partidul Naţional Liberal	Future Innovation 	181375448581167	Facebook	136	1	14952806	6410045	24228	6202
m	male	Jobbik Magyarországért Mozgalom	Jobbik Magyarországért Mozgalom	287770891404	Facebook	51	1	14385773	6772992	28671	12680
m	male	Tom Van Grieken	Vlaams Belang	584806884924010	Facebook	106	1	13962487	5997677	121815	27990
m	male	Best For Britain	Best for Britain	1863944713844924	Facebook	799	1	13799921	5754878	181939	42528
