media_code_filter	media_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
text	Text	mmb media agentur d.o.o.		AR524572049809604608	Google	352	1	4960000	160000	17600	0
text	Text	CENTERPARTIETS RIKSORGANISATION		AR484881879070146560	Google	240	1	2400000	0	12000	0
text	Text	Det Konservative Folkeparti		AR40969452518375424	Google	218	1	2180000	0	10900	0
text	Text	Gestion et Action Libérale		AR201311233196949504	Google	182	1	1820000	0	9100	0
text	Text	Bündnis 90/Die Grünen Baden-Württemberg		AR17917091730423808	Google	160	1	1600000	0	8000	0
text	Text	Bündnis90/ Die Grünen		AR207068276079984640	Google	83	1	830000	0	4150	0
text	Text	HLAS		AR312619193323225088	Google	69	1	690000	0	3450	0
text	Text	GREEN DAY, s.r.o		AR423241058193768448	Google	36	1	540000	20000	1800	0
text	Text	SPOLU - občianska demokracia		AR194838133366325248	Google	49	1	490000	0	2450	0
text	Text	Nieuw-Vlaamse Alliantie		AR417822664892088320	Google	41	1	410000	0	2050	0
text	Text	Unitas		AR53945888749387776	Google	41	1	410000	0	2050	0
text	Text	Koalicyjny Komitet Wyborczy Koalicja Europejska PO PSL SLD .N  ZIELONI		AR489880258930016256	Google	39	1	390000	0	1950	0
text	Text	Varsinais-Suomen Kokoomus ry		AR199136399197208576	Google	23	1	320000	10000	1150	0
text	Text	Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	32	1	320000	0	1600	0
text	Text	COALICION ELECTORAL UNIDAS PODEMOS		AR21167248102129664	Google	22	1	310000	10000	1100	0
text	Text	Suomen Sosialidemokraattinen Puolue - Finlands Socialdemokratiska  Parti r.p.		AR525570406367625216	Google	29	1	290000	0	1450	0
text	Text	TOP 09		AR268709096956362752	Google	28	1	280000	0	1400	0
text	Text	Yhteinen hyvä ry		AR296997332115783680	Google	28	1	280000	0	1400	0
text	Text	Socialdemokratiet Sønderborg kreds		AR556939473108074496	Google	27	1	270000	0	1350	0
text	Text	Freiheitliche Partei Österreich		AR333020356698701824	Google	25	1	250000	0	1250	0
text	Text	Kansallinen Kokoomus r.p.		AR210958348219056128	Google	22	1	220000	0	1100	0
text	Text	European People’s Party		AR308399267695820800	Google	18	1	180000	0	900	0
text	Text	Projekt Európa		AR303746959120793600	Google	17	1	170000	0	850	0
text	Text	Vapaus ry		AR124593908880506880	Google	16	1	160000	0	800	0
text	Text	Perussuomalaiset r.p., Sannfinländarna r.p.		AR535217521389731840	Google	15	1	150000	0	750	0
text	Text	Saku Petteri Räty		AR196651502918434816	Google	13	1	130000	0	650	0
text	Text	Alternative für Deutschland		AR380456861733748736	Google	3	1	120000	10000	150	0
text	Text	AfD-Kreisverband Braunschweig		AR201649882778304512	Google	11	1	110000	0	550	0
text	Text	Fratelli d'Italia Centrodestra Nazionale		AR400032566754672640	Google	11	1	110000	0	550	0
text	Text	Sloboda a Solidarita		AR242125929453715456	Google	9	1	90000	0	450	0
text	Text	Slovenska demokratska stranka		AR170068335415787520	Google	8	1	80000	0	400	0
text	Text	SPD Berlin		AR257142234632159232	Google	8	1	80000	0	400	0
text	Text	Kresťanská únia		AR358916054556082176	Google	8	1	80000	0	400	0
text	Text	Maailman Paras Pääkaupunki ry		AR221113437613195264	Google	7	1	70000	0	350	0
text	Text	Österreichischer Wirtschaftsbund (ÖWB)		AR248881328894771200	Google	7	1	70000	0	350	0
text	Text	Janika Takatalo		AR113027046556303360	Google	6	1	60000	0	300	0
text	Text	Teknologia ja tulevaisuus ry		AR340766690994290688	Google	6	1	60000	0	300	0
text	Text	Studio Montrucchio Capello snc		AR159631771044937728	Google	5	1	50000	0	250	0
text	Text	Partito Democratico		AR254356072167374848	Google	5	1	50000	0	250	0
text	Text	Nacionālā apvienība "Visu Latvijai!" - "Tēvzemei un Brīvībai/LNNK"		AR420861715031261184	Google	5	1	50000	0	250	0
text	Text	Petteri Rädyn tukiyhdistys ry		AR427131130332839936	Google	5	1	50000	0	250	0
text	Text	Liberal Alliance		AR183859784640888832	Google	4	1	40000	0	200	0
text	Text	KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	4	1	40000	0	200	0
text	Text	SPÖ-Landesorganisation Burgenland		AR345765070854160384	Google	4	1	40000	0	200	0
text	Text	Venstre Egedalkreds		AR439052860034908160	Google	4	1	40000	0	200	0
text	Text	SPD		AR456734381399080960	Google	4	1	40000	0	200	0
text	Text	Flamesite s.r.o.		AR522320249995919360	Google	4	1	40000	0	200	0
