week_code_filter	week_label_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
w013	Week 13	European Parliament		178362315106	Facebook	524	1	27425427	12051507	118558	27123
w013	Week 13	Partido Popular Regional De Canarias		AR288284801977286656	Google	134	1	16361322	1591095	9296	488
w013	Week 13	Liberaalipuolue - Vapaus valita r.p.		AR52536314842578944	Google	106	1	8196155	814755	1646	0
w013	Week 13	Lietuvos Respublikos liberalų sąjūdis		AR132631338879549440	Google	52	1	5866249	578614	1478	74
w013	Week 13	Suomen Keskusta r.p.		AR441112520191639552	Google	25	1	5248970	520100	86313	1493
w013	Week 13	People's Vote UK	People's Vote	748608695327755	Facebook	350	1	3786866	1036121	70066	12001
w013	Week 13	EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	7	1	3024993	1325000	8493	2825
w013	Week 13	SPD	SPD	47930567748	Facebook	317	1	2838683	806000	46783	3900
w013	Week 13	Sosialidemokraatit SDP		108945982480217	Facebook	53	1	2765566	1228514	17150	4890
w013	Week 13	Wholesome Culture		1664959567149320	Facebook	5	1	2599995	1150000	5870	1157
w013	Week 13	European Commission		107898832590939	Facebook	18	1	2578930	1212551	9479	2342
w013	Week 13	The Labour Party	The Labour Party	25749647410	Facebook	24	1	2481408	1089785	22298	4996
w013	Week 13	Greenpeace Polska		32104614789	Facebook	29	1	2385623	1052952	5512	1492
w013	Week 13	Vattenfall Sverige		608975645850217	Facebook	24	1	2242586	1026666	27370	7851
w013	Week 13	NÁRODNÁ KOALÍCIA		AR12498698428743680	Google	2	1	2210997	221099	10741	179
w013	Week 13	Britain's Future	Britain's Future	1625300137516491	Facebook	1101	1	2200773	432083	79129	1851
w013	Week 13	Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	13	1	1977495	886250	2820	1150
w013	Week 13	Kialo		729627343834501	Facebook	24	1	1874976	711000	17870	4272
w013	Week 13	Ufficio d'informazione in Italia del Parlamento europeo		143544514130	Facebook	30	1	1813322	799000	1949	219
w013	Week 13	Venstres Landsorganisation		AR283015942256984064	Google	9	1	1731000	172500	99930	1740
w013	Week 13	China Xinhua News		338109312883186	Facebook	3	1	1699997	800000	976	178
w013	Week 13	Aboca		295129913955200	Facebook	48	1	1485164	419289	3160	0
w013	Week 13	Ministère de l'Intérieur		103146727990	Facebook	32	1	1453400	603529	7576	1764
w013	Week 13	Friends of the Earth	Friends of the Earth	110861655604080	Facebook	52	1	1420584	461859	9688	1823
w013	Week 13	Covestro		150793518281117	Facebook	8	1	1407483	574962	1466	304
w013	Week 13	Right To Vote	Right to Vote	408236463256774	Facebook	28	1	1399972	280000	16168	3240
w013	Week 13	ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	7	1	1379856	643194	7368	1447
w013	Week 13	European Parliament Office in Cyprus		205478755729	Facebook	9	1	1374993	620000	6493	1225
w013	Week 13	Mayor of London	the Greater London Authority	360322167647280	Facebook	11	1	1366928	520931	17383	3406
w013	Week 13	Primes écologique		152399322377561	Facebook	6	1	1349994	530000	16494	3300
w013	Week 13	Best For Britain	Best for Britain	1863944713844924	Facebook	33	1	1347296	624680	13443	3053
w013	Week 13	Comité Justice & Libertés Pour Tous - CJL		223006651523189	Facebook	3	1	1312497	575000	410	50
w013	Week 13	Aides énergétiques pour tous		789578834730248	Facebook	7	1	1249993	530000	17093	3700
w013	Week 13	Save the Children España	Save the Children España	57845333112	Facebook	2	1	1199998	600000	5998	1500
w013	Week 13	38 Degrees	38 Degrees	200006375787	Facebook	74	1	1179813	407813	9580	1501
w013	Week 13	Europees Parlement Nederland		270788920480	Facebook	6	1	1169996	510000	16795	3599
w013	Week 13	Sign for my Future		1345513882259768	Facebook	10	1	1164997	525000	6697	1924
w013	Week 13	Stichting Vluchteling		120034538112114	Facebook	72	1	1114016	419192	16955	3786
w013	Week 13	Redfish		349920542118450	Facebook	4	1	1058746	429375	1134	199
w013	Week 13	CGTN		565225540184937	Facebook	2	1	1049998	525000	555	111
w013	Week 13	Medici Senza Frontiere		65737832194	Facebook	26	1	1036544	432374	3992	1329
w013	Week 13	eToro		193863317737	Facebook	8	1	1019992	427000	2574	712
w013	Week 13	Save the Children Italia		46590675335	Facebook	1	1	999999	500000	4999	1000
w013	Week 13	Miriam Cates	The Conservative Party	349846382192653	Facebook	1	1	999999	500000	1156	578
w013	Week 13	Podemos	Unidas Podemos	269212336568846	Facebook	1	1	999999	500000	4999	1000
w013	Week 13	TRT World		1559901027613381	Facebook	1	1	999999	500000	74	14
w013	Week 13	SicheConviene		391770197992824	Facebook	1	1	999999	500000	4999	1000
w013	Week 13	The Syria Campaign		607756062649744	Facebook	1	1	999999	500000	88	0
w013	Week 13	Pologize Fashion		274227073497806	Facebook	1	1	999999	500000	8900	4450
w013	Week 13	Women, War & Peace | PBS	Peace is Loud	208504065850908	Facebook	1	1	999999	499999	889	445
w013	Week 13	Alternativet		AR198061076825243648	Google	2	1	999999	100000	500	49
w013	Week 13	Apodemia		115927088504184	Facebook	2	1	999998	400000	198	0
w013	Week 13	The Bamboo Brush Society		1152885191422950	Facebook	8	1	865992	363000	2392	400
w013	Week 13	Rumilus Design Oy		AR391102333313875968	Google	21	1	826883	79542	255	0
w013	Week 13	2 Min Ecologie		433170297221149	Facebook	24	1	811976	258000	6376	1000
